button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.556100000001486],[11.556200000002981],506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,space,5.7917,,,,,,,,,,,,,,,,,,,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,47.9,46.3,,,,,,,,,,,,,,,,,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,space,6.47,,,,,,,,,,,,,,,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,space,6.0189,,,,,,,,,,,,,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,33,21,space,12.1559,5,11.7817,0,0,0,0,1,101,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,37,21,space,6.0206,9,3.919,0,1,1,1,1,102,,,,,,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,49,21,space,3.8802,10,2.655,,,,,,12,0,0,0,12,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,40,21,space,7.1358,10,7.1852,,,,,,35,0,1,1,35,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,42,21,space,4.4652,17,4.2544,,,,,,46,0,2,2,46,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,47,21,space,4.5504,13,4.5229,,,,,,76,0,3,3,76,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,31,21,space,2.6568,18,2.6189,,,,,,79,0,4,4,79,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,46,21,space,3.6788,7,3.0143,,,,,,21,0,5,5,21,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,39,21,space,2.5312,10,2.5546,,,,,,26,0,6,6,26,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,44,21,space,4.4029,14,4.4143,,,,,,78,0,7,7,78,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,40,21,space,4.9724,20,4.6124,,,,,,17,0,8,8,17,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,48,21,space,4.2753,39,3.9692,,,,,,9,0,9,9,9,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,39,21,space,2.7833,19,2.6914,,,,,,83,0,10,10,83,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,36,21,space,2.942,22,2.9956,,,,,,23,0,11,11,23,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,46,21,space,2.9658,12,2.4984,,,,,,29,0,12,12,29,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,41,21,space,2.263,7,2.0437,,,,,,38,0,13,13,38,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,46,21,space,1.8533,26,1.7182,,,,,,68,0,14,14,68,1,,
,,,506,56b88bf7e1d0a2000b145037,41,female,2022-11-22_14h41.58.880,onlinegloss,2022.2.3,Win32,60.08532116,,,,,,,,,40,21,space,2.5147,13,2.524,,,,,,32,0,15,15,32,1,,
