button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.506],[12.506],589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,space,4.69,,,,,,,,,,,,,,,,,,,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,33.9,32.4,,,,,,,,,,,,,,,,,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,space,8.195,,,,,,,,,,,,,,,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,,,space,11.424,,,,,,,,,,,,,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,,,,,50,50,space,13.688,39,13.204,0,0,0,0,1,101,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,,,,,39,50,space,15.983,46,14.586,0,1,1,1,1,102,,,,,,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,,,,,28,50,space,8.973,38,8.301,,,,,,26,0,0,0,26,1,,
,,,589,5f589d27b9bdc9016c605c7e,51,female,2022-11-22_14h51.02.412,onlinegloss,2022.2.3,Win32,74.96251874,,,,,,,,,49,50,space,9.378,20,8.641,,,,,,63,0,1,1,63,1,,
