button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[47.89312499999869],[47.893324999997276],865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,space,6.78701,,,,,,,,,,,,,,,,,,,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,46.7,40.2,,,,,,,,,,,,,,,,,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,space,15.3202,,,,,,,,,,,,,,,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,,,space,28.427315,,,,,,,,,,,,,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,,,,,27,2,space,76.597355,31,75.749425,0,0,0,0,1,101,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,,,,,30,2,space,10.53404,22,9.965095,0,1,1,1,1,102,,,,,,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,,,,,46,2,space,14.69765,14,14.236395,,,,,,73,0,0,0,73,1,,
,,,865,5e1e319cac30fa19d1e131fe,56,female,2022-11-22_17h13.54,onlinegloss,2022.2.3,Linux armv7l,60.0024001,,,,,,,,,30,2,space,12.932405,19,12.33858,,,,,,43,0,1,1,43,1,,
