button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[9.856799999952315],[9.856799999952315],99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,space,3.0555,,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,45.7,43.3,,,,,,,,,,,,,,,,,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,space,76.8174,,,,,,,,,,,,,,,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,space,32.5198,,,,,,,,,,,,,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,47,46,space,22.537,43,20.491,0,0,0,0,1,101,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,27,46,space,22.9079,52,21.9003,0,1,1,1,1,102,,,,,,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,27,46,space,14.2121,24,13.0185,,,,,,43,0,0,0,43,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,46,space,12.1706,24,11.0267,,,,,,1,0,1,1,1,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,37,46,space,7.5515,,,,,,,,22,0,2,2,22,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,34,46,space,5.2691,1,3.778,,,,,,60,0,3,3,60,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,39,46,space,12.2373,6,11.393,,,,,,6,0,4,4,6,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,28,46,space,5.0525,1,3.9519,,,,,,75,0,5,5,75,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,46,space,8.7788,6,7.7787,,,,,,70,0,6,6,70,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,37,46,space,12.5313,13,12.0729,,,,,,56,0,7,7,56,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,50,46,space,11.4738,21,10.915,,,,,,31,0,8,8,31,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,37,46,space,14.7864,26,13.3837,,,,,,53,0,9,9,53,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,30,46,space,10.4271,34,10.0175,,,,,,4,0,10,10,4,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,46,space,7.8573,44,7.3775,,,,,,8,0,11,11,8,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,47,46,space,7.3024,45,6.952,,,,,,38,0,12,12,38,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,36,46,space,7.0001,52,6.5675,,,,,,81,0,13,13,81,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,34,46,space,4.4191,,,,,,,,49,0,14,14,49,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,33,46,space,5.5963,42,4.0013,,,,,,19,0,15,15,19,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,51,46,space,13.5873,52,12.565,,,,,,21,0,16,16,21,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,42,46,space,9.1162,2,5.1091,,,,,,32,0,17,17,32,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,26,46,space,7.073,10,6.5369,,,,,,71,0,18,18,71,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,46,46,space,7.3389,21,6.9878,,,,,,73,0,19,19,73,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,31,46,space,9.0761,31,8.7116,,,,,,27,0,20,20,27,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,50,46,space,15.34,50,13.5553,,,,,,9,0,21,21,9,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,30,46,space,4.5601,52,2.892,,,,,,72,0,22,22,72,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,33,46,space,5.2336,16,4.093,,,,,,51,0,23,23,51,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,46,space,5.0819,17,4.6522,,,,,,25,0,24,24,25,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,35,46,space,10.2002,18,9.8815,,,,,,33,0,25,25,33,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,42,46,space,3.6154,28,3.3829,,,,,,55,0,26,26,55,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,34,46,space,7.0621,47,6.4542,,,,,,84,0,27,27,84,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,39,46,space,6.8781,15,6.5697,,,,,,24,0,28,28,24,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,44,46,space,3.667,1,3.1324,,,,,,11,0,29,29,11,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,44,46,space,4.2961,31,3.9874,,,,,,62,0,30,30,62,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,38,46,space,9.8707,35,9.3658,,,,,,40,0,31,31,40,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,38,46,space,27.9798,1,17.3747,,,,,,0,0,32,32,0,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,31,46,space,10.446,1,8.99,,,,,,45,0,33,33,45,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,33,46,space,9.0256,7,8.2374,,,,,,34,0,34,34,34,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,49,46,space,8.7444,27,7.5068,,,,,,5,0,35,35,5,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,26,46,space,5.2156,42,4.5745,,,,,,78,0,36,36,78,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,44,46,space,13.0643,10,11.913,,,,,,63,0,37,37,63,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,46,space,11.2932,27,9.6712,,,,,,3,0,38,38,3,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,31,46,space,7.4422,1,4.9034,,,,,,20,0,39,39,20,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,46,space,18.0322,22,17.1925,,,,,,28,0,40,40,28,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,26,46,space,8.1965,12,4.7755,,,,,,50,0,41,41,50,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,35,46,space,9.4601,23,8.8844,,,,,,52,0,42,42,52,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,29,46,space,10.8576,33,4.3737,,,,,,12,0,43,43,12,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,46,space,6.6189,48,3.9551,,,,,,65,0,44,44,65,1,,
,,,99,603e84eb880ceef4586db3d4,62,female ,2022-11-21_12h55.59.134,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,39,46,space,3.8112,,,,,,,,26,0,45,45,26,1,,
