button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.18189999997616],[11.182000000000002],922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,space,12.4648,,,,,,,,,,,,,,,,,,,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,32.2,32.3,,,,,,,,,,,,,,,,,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,space,16.1887,,,,,,,,,,,,,,,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,space,20.9239,,,,,,,,,,,,,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,32,5,space,14.1709,39,13.1108,0,0,0,0,1,101,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,31,5,space,14.2209,34,14.2166,0,1,1,1,1,102,,,,,,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,27,5,space,19.5132,17,19.4867,,,,,,78,0,0,0,78,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,36,5,space,6.6256,40,6.5799,,,,,,84,0,1,1,84,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,46,5,space,11.3329,14,11.1979,,,,,,35,0,2,2,35,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,44,5,space,10.9812,19,11.0102,,,,,,59,0,3,3,59,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,43,5,space,5.5714,8,5.5455,,,,,,51,0,4,4,51,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,30,5,space,7.2688,12,7.1776,,,,,,41,0,5,5,41,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,47,5,space,6.282,15,6.2432,,,,,,32,0,6,6,32,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,34,5,space,8.6239,6,8.5088,,,,,,16,0,7,7,16,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,41,5,space,21.0997,,,,,,,,0,0,8,8,0,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,28,5,space,9.7421,9,9.5647,,,,,,72,0,9,9,72,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,40,5,space,8.8694,4,8.7827,,,,,,53,0,10,10,53,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,34,5,space,6.1345,4,2.0268,,,,,,82,0,11,11,82,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,35,5,space,5.936,4,5.9629,,,,,,31,0,12,12,31,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,41,5,space,6.127,9,6.1277,,,,,,61,0,13,13,61,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,50,5,space,8.7946,21,8.6771,,,,,,12,0,14,14,12,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,33,5,space,8.2389,17,8.1945,,,,,,14,0,15,15,14,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,29,5,space,4.6327,22,4.5437,,,,,,67,0,16,16,67,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,42,5,space,6.8218,24,6.7485,,,,,,46,0,17,17,46,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,31,5,space,6.7646,31,6.6921,,,,,,40,0,18,18,40,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,49,5,space,5.5022,39,5.5264,,,,,,30,0,19,19,30,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,46,5,space,7.3717,13,7.2939,,,,,,57,0,20,20,57,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,31,5,space,7.3835,18,7.2974,,,,,,33,0,21,21,33,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,44,5,space,8.9774,5,8.7607,,,,,,62,0,22,22,62,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,27,5,space,7.9867,27,7.9942,,,,,,81,0,23,23,81,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,33,5,space,7.8746,5,7.7956,,,,,,69,0,24,24,69,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,47,5,space,4.9246,6,4.7938,,,,,,54,0,25,25,54,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,44,5,space,5.1369,20,5.1279,,,,,,3,0,26,26,3,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,31,5,space,4.2891,7,4.2286,,,,,,58,0,27,27,58,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,47,5,space,8.1886,24,8.0116,,,,,,76,0,28,28,76,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,49,5,space,5.2952,18,4.6621,,,,,,68,0,29,29,68,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,51,5,space,6.3716,39,6.392,,,,,,56,0,30,30,56,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,27,5,space,4.5436,21,4.5778,,,,,,73,0,31,31,73,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,36,5,space,7.18,15,7.1467,,,,,,21,0,32,32,21,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,47,5,space,3.6401,8,3.6129,,,,,,26,0,33,33,26,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,35,5,space,5.2751,32,5.1779,,,,,,74,0,34,34,74,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,26,5,space,4.9402,33,4.8447,,,,,,45,0,35,35,45,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,34,5,space,8.4171,29,8.4598,,,,,,18,0,36,36,18,1,,
,,,922,5a81d2b6190420000155d995,53,male,2022-11-22_17h18.54.744,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,30,5,space,4.0577,29,1.4636,,,,,,17,0,37,37,17,1,,
