button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.4625000000000004],[2.462799999952315],84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,space,6.7425,,,,,,,,,,,,,,,,,,,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,41.7,39.5,,,,,,,,,,,,,,,,,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,space,4.8479,,,,,,,,,,,,,,,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,space,1.5982,,,,,,,,,,,,,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,41,31,space,3.378,,,0,0,0,0,1,101,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,41,31,space,7.0885,42,6.818,0,1,1,1,1,102,,,,,,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,26,31,space,3.9189,5,3.8434,,,,,,52,0,0,0,52,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,34,31,space,2.2493,,,,,,,,20,0,1,1,20,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,42,31,space,2.3408,8,2.3042,,,,,,23,0,2,2,23,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,45,31,space,2.9769,19,2.9173,,,,,,7,0,3,3,7,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,35,31,space,1.9217,,,,,,,,46,0,4,4,46,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,46,31,space,5.7214,19,5.6166,,,,,,27,0,5,5,27,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,34,31,space,1.866,16,1.6103,,,,,,67,0,6,6,67,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,26,31,space,1.9649,14,1.8959,,,,,,76,0,7,7,76,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,34,31,space,6.1526,22,3.1146,,,,,,78,0,8,8,78,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,35,31,space,2.5093,,,,,,,,49,0,9,9,49,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,51,31,space,2.5916,17,2.5747,,,,,,18,0,10,10,18,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,33,31,space,1.6703,11,1.4521,,,,,,31,0,11,11,31,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,29,31,space,1.9326,12,1.8005,,,,,,3,0,12,12,3,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,41,31,space,2.8969,4,2.755,,,,,,69,0,13,13,69,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,38,31,space,1.7121,7,1.6694,,,,,,75,0,14,14,75,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,33,31,space,1.5944,4,1.4947,,,,,,17,0,15,15,17,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,28,31,space,1.9454,5,1.4589,,,,,,54,0,16,16,54,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,36,31,space,1.2165,3,1.1127,,,,,,66,0,17,17,66,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,46,31,space,3.6146,13,3.5426,,,,,,10,0,18,18,10,1,,
,,,84,5b2a4be35b5c0900018b0ebf,33,female,2022-11-21_12h52.45.129,onlinegloss,2022.2.3,Win32,60.06366749,,,,,,,,,38,31,space,2.4149,31,2.2913,,,,,,43,0,19,19,43,1,,
