button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.47809999996424],[4.478199999988082],996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,space,4.6769,,,,,,,,,,,,,,,,,,,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,40,50,,,,,,,,,,,,,,,,,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,space,101.0469,,,,,,,,,,,,,,,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,space,124.5624,,,,,,,,,,,,,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,43,1,space,9.0732,45,8.5564,0,0,0,0,1,101,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,42,1,space,3.4187,,,0,1,1,1,1,102,,,,,,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,32,1,space,5.0032,1,4.7565,,,,,,15,0,0,0,15,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,39,1,space,5.3688,29,5.1914,,,,,,9,0,1,1,9,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,51,1,space,4.0681,7,4.0136,,,,,,32,0,2,2,32,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,28,1,space,7.0736,21,6.8767,,,,,,57,0,3,3,57,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,34,1,space,8.8717,9,8.6286,,,,,,53,0,4,4,53,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,26,1,space,3.8331,1,3.5244,,,,,,14,0,5,5,14,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,45,1,space,7.8043,16,7.7281,,,,,,65,0,6,6,65,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,41,1,space,2.5727,10,2.3435,,,,,,55,0,7,7,55,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,45,1,space,6.5378,24,6.2089,,,,,,6,0,8,8,6,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,40,1,space,4.4221,37,4.2397,,,,,,38,0,9,9,38,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,51,1,space,2.3203,1,2.2098,,,,,,40,0,10,10,40,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,35,1,space,5.9145,6,5.5109,,,,,,13,0,11,11,13,1,,
,,,996,5ea047a81be52701309fe573,28,male,2022-11-23_11h55.25.462,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,27,1,space,5.2994,21,5.1443,,,,,,12,0,12,12,12,1,,
