button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[15.474600000143049],[15.474700000047683],265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,space,9.8209,,,,,,,,,,,,,,,,,,,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,38.7,45.5,,,,,,,,,,,,,,,,,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,space,10.7262,,,,,,,,,,,,,,,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,space,35.9786,,,,,,,,,,,,,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,48,50,space,13.8746,52,11.581,0,0,0,0,1,101,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,41,50,space,13.4416,19,12.9602,0,1,1,1,1,102,,,,,,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,39,50,space,13.4297,9,13.1447,,,,,,66,0,0,0,66,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,47,50,space,12.3288,19,11.7197,,,,,,24,0,1,1,24,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,46,50,space,9.9878,1,9.4005,,,,,,42,0,2,2,42,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,29,50,space,9.1934,16,8.7411,,,,,,48,0,3,3,48,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,34,50,space,15.8574,52,15.694,,,,,,18,0,4,4,18,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,44,50,space,5.916,6,5.779,,,,,,14,0,5,5,14,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,46,50,space,5.3683,52,4.5872,,,,,,11,0,6,6,11,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,52,50,space,4.0567,45,2.6587,,,,,,58,0,7,7,58,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,30,50,space,9.2125,21,8.935,,,,,,62,0,8,8,62,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,51,50,space,8.8088,52,8.515,,,,,,38,0,9,9,38,1,,
,,,265,61090a2f9a9df0c7536b60e3,46,male,2022-11-22_09h33.07.944,onlinegloss,2022.2.3,Win32,6.662891028,,,,,,,,,44,50,space,4.2407,52,3.6669,,,,,,27,0,10,10,27,1,,
