button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.0820000000000007],[3.0829999999999984],795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,space,12.071,,,,,,,,,,,,,,,,,,,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,45,45.6,,,,,,,,,,,,,,,,,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,space,18.431,,,,,,,,,,,,,,,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,space,19.653,,,,,,,,,,,,,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,40,40,space,14.101,43,13.334,0,0,0,0,1,101,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,44,40,space,9.688,27,9.445,0,1,1,1,1,102,,,,,,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,41,40,space,7.914,12,7.139,,,,,,76,0,0,0,76,1,,
,,,795,5f19d9cd104f790880d55df4,33,female,2022-11-22_17h08.18.880,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,34,40,space,3.514,1,2.985,,,,,,42,0,1,1,42,1,,
