button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.17310000000009],[6.173300000000054],236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,space,41.8543,,,,,,,,,,,,,,,,,,,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,42,40,,,,,,,,,,,,,,,,,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,space,9.744,,,,,,,,,,,,,,,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,space,12.659,,,,,,,,,,,,,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,30,21,space,24.476,36,21.8005,0,0,0,0,1,101,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,34,21,space,12.8424,35,11.7591,0,1,1,1,1,102,,,,,,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,36,21,space,7.793,23,6.5037,,,,,,59,0,0,0,59,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,48,21,space,19.5579,20,18.8255,,,,,,24,0,1,1,24,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,44,21,space,5.1074,1,4.4758,,,,,,30,0,2,2,30,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,45,21,space,16.3514,31,15.2999,,,,,,39,0,3,3,39,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,32,21,space,15.2676,31,14.9854,,,,,,83,0,4,4,83,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,45,21,space,10.436,27,8.4891,,,,,,42,0,5,5,42,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,28,21,space,9.4852,11,8.5472,,,,,,48,0,6,6,48,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,41,21,space,9.9083,27,9.6986,,,,,,25,0,7,7,25,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,32,21,space,7.5058,19,5.6674,,,,,,34,0,8,8,34,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,42,21,space,6.9228,10,6.3838,,,,,,5,0,9,9,5,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,30,21,space,10.8055,7,10.0719,,,,,,53,0,10,10,53,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,31,21,space,10.2269,33,9.1334,,,,,,73,0,11,11,73,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,32,21,space,6.6197,44,6.3408,,,,,,8,0,12,12,8,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,40,21,space,8.3704,8,7.2155,,,,,,1,0,13,13,1,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,29,21,space,6.9112,50,6.2375,,,,,,50,0,14,14,50,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,37,21,space,7.544,1,6.2961,,,,,,37,0,15,15,37,1,,
,,,236,6274f9115634950cf5970f1c,42,male,2022-11-22_09h33.34.818,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,40,21,space,8.3892,45,6.9151,,,,,,67,0,16,16,67,1,,
