button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.9696000000238385],[7.9696000000238385],1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,space,6.5779,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,53.8,51.1,,,,,,,,,,,,,,,,,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,space,11.2905,,,,,,,,,,,,,,,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,,,space,10.1661,,,,,,,,,,,,,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,,,,,45,1,space,14.5616,20,13.2491,0,0,0,0,1,101,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,,,,,51,1,space,9.4781,18,8.7493,0,1,1,1,1,102,,,,,,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,,,,,47,1,space,6.1898,12,5.6262,,,,,,33,0,0,0,33,1,,
,,,1007,61fa95715719bc09cb8351de,38,male,2022-11-23_12h00.21.357,onlinegloss,2022.2.3,Win32,59.56990528,,,,,,,,,39,1,space,8.4194,22,7.738,,,,,,50,0,1,1,50,1,,
