button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.927100000001488],[1.9272000000029799],494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,space,5.1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,62.2,62.1,,,,,,,,,,,,,,,,,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,space,21.1057,,,,,,,,,,,,,,,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,space,18.3591,,,,,,,,,,,,,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,38,9,space,7.2207,52,6.0038,0,0,0,0,1,101,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,45,9,space,10.0296,19,9.8408,0,1,1,1,1,102,,,,,,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,50,9,space,6.7483,17,6.5015,,,,,,53,0,0,0,53,1,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,28,9,space,7.2521,41,6.7878,,,,,,19,0,1,1,19,1,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,51,9,space,8.4541,24,8.0392,,,,,,18,0,2,2,18,1,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,44,9,space,5.6347,13,4.6695,,,,,,57,0,3,3,57,1,,
,,,494,5f0c73b52192c243a3c5d4ed,20,male,2022-11-22_14h41.58.614,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,43,9,space,4.714,24,4.4696,,,,,,47,0,4,4,47,1,,
