button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.3210000000000015],[1.3210000000000015],116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,space,54.012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,40.4,36.6,,,,,,,,,,,,,,,,,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,space,7.911,,,,,,,,,,,,,,,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,space,31.302,,,,,,,,,,,,,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,45,9,space,8.684,43,8.191,0,0,0,0,1,101,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,44,9,space,8.89,40,8.803,0,1,1,1,1,102,,,,,,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,48,9,space,3.418,7,3.149,,,,,,68,0,0,0,68,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,46,9,space,2.419,7,2.186,,,,,,54,0,1,1,54,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,41,9,space,3.44,20,3.203,,,,,,56,0,2,2,56,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,26,9,space,2.388,23,2.313,,,,,,59,0,3,3,59,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,30,9,space,4.568,25,4.466,,,,,,29,0,4,4,29,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,47,9,space,2.877,33,2.799,,,,,,35,0,5,5,35,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,49,9,space,19.164,27,19.016,,,,,,53,0,6,6,53,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,48,9,space,2.021,,,,,,,,83,0,7,7,83,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,40,9,space,1.327,22,1.316,,,,,,44,0,8,8,44,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,40,9,space,1.534,13,1.425,,,,,,75,0,9,9,75,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,34,9,space,1.456,14,1.337,,,,,,69,0,10,10,69,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,37,9,space,1.668,21,1.614,,,,,,24,0,11,11,24,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,39,9,space,2.519,32,2.482,,,,,,32,0,12,12,32,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,36,9,space,6.646,1,5.982,,,,,,0,0,13,13,0,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,36,9,space,2.348,22,2.255,,,,,,50,0,14,14,50,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,41,9,space,1.99,37,1.899,,,,,,37,0,15,15,37,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,43,9,space,1.888,22,1.678,,,,,,28,0,16,16,28,1,,
,,,116,57e0553a6c447e000116adfd,36,male,2022-11-21_13h02.29.498,onlinegloss,2022.2.3,Win32,71.94244604,,,,,,,,,51,9,space,1.472,2,1.298,,,,,,55,0,17,17,55,1,,
