button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[16.779999999999998],[16.779999999999998],354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,space,6.211,,,,,,,,,,,,,,,,,,,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,52,48.4,,,,,,,,,,,,,,,,,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,space,9.519,,,,,,,,,,,,,,,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,space,30.077,,,,,,,,,,,,,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,43,31,space,23.394,35,22.146,0,0,0,0,1,101,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,39,31,space,9.316,26,8.926,0,1,1,1,1,102,,,,,,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,38,31,space,11.662,32,10.718,,,,,,15,0,0,0,15,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,34,31,space,6.59,1,6.425,,,,,,1,0,1,1,1,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,33,31,space,7.642,5,7.423,,,,,,27,0,2,2,27,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,48,31,space,3.75,1,2.762,,,,,,35,0,3,3,35,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,40,31,space,3.357,2,2.874,,,,,,52,0,4,4,52,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,46,31,space,13.442,16,12.74,,,,,,18,0,5,5,18,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,35,31,space,2.949,1,2.559,,,,,,37,0,6,6,37,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,29,31,space,2.047,2,1.291,,,,,,55,0,7,7,55,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,28,31,space,6.505,6,6.299,,,,,,73,0,8,8,73,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,45,31,space,5.371,11,4.839,,,,,,23,0,9,9,23,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,43,31,space,4.444,4,3.978,,,,,,12,0,10,10,12,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,27,31,space,2.82,1,2.605,,,,,,61,0,11,11,61,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,46,31,space,6.849,14,6.109,,,,,,41,0,12,12,41,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,29,31,space,4.726,10,4.287,,,,,,7,0,13,13,7,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,52,31,space,2.382,1,2.112,,,,,,40,0,14,14,40,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,26,31,space,8.324,2,4.612,,,,,,0,0,15,15,0,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,48,31,space,8.55,8,7.633,,,,,,36,0,16,16,36,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,39,31,space,6.762,18,6.33,,,,,,68,0,17,17,68,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,39,31,space,2.456,1,1.929,,,,,,54,0,18,18,54,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,50,31,space,8.292,3,7.656,,,,,,30,0,19,19,30,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,28,31,space,19.074,28,18.778,,,,,,74,0,20,20,74,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,41,31,space,5.61,16,2.852,,,,,,11,0,21,21,11,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,51,31,space,3.562,14,1.721,,,,,,60,0,22,22,60,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,26,31,space,7.272,25,4.348,,,,,,44,0,23,23,44,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,39,31,space,5.805,10,4.503,,,,,,22,0,24,24,22,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,26,31,space,5.685,36,4.012,,,,,,84,0,25,25,84,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,44,31,space,3.666,3,2.219,,,,,,4,0,26,26,4,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,31,31,space,6.124,5,5.333,,,,,,64,0,27,27,64,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,49,31,space,4.765,19,3.645,,,,,,16,0,28,28,16,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,46,31,space,3.789,28,1.603,,,,,,81,0,29,29,81,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,30,31,space,2.527,2,1.957,,,,,,6,0,30,30,6,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,42,31,space,5.485,26,3.38,,,,,,70,0,31,31,70,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,51,31,space,2.953,2,2.187,,,,,,66,0,32,32,66,1,,
,,,354,5f3543ca9541a04b0a36acaf,31,female,2022-11-22_09h38.33.426,onlinegloss,2022.2.3,MacIntel,66.66666667,,,,,,,,,35,31,space,2.206,2,1.823,,,,,,45,0,33,33,45,1,,
