button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[113.95670000000017],[113.95670000000017],793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,space,4.0043,,,,,,,,,,,,,,,,,,,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,37.5,36.8,,,,,,,,,,,,,,,,,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,space,10.2937,,,,,,,,,,,,,,,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,space,14.1969,,,,,,,,,,,,,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,39,38,space,13.9126,42,12.3727,0,0,0,0,1,101,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,30,38,space,10.2769,37,9.7422,0,1,1,1,1,102,,,,,,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,31,38,space,6.0891,26,5.3035,,,,,,83,0,0,0,83,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,28,38,space,5.1382,6,4.7375,,,,,,19,0,1,1,19,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,46,38,space,4.6209,1,3.7865,,,,,,61,0,2,2,61,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,49,38,space,3.57,1,2.3686,,,,,,3,0,3,3,3,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,49,38,space,7.4738,32,7.1734,,,,,,26,0,4,4,26,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,41,38,space,3.9204,25,3.5029,,,,,,42,0,5,5,42,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,44,38,space,2.3354,1,2.0349,,,,,,5,0,6,6,5,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,43,38,space,4.4875,17,4.1202,,,,,,37,0,7,7,37,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,38,38,space,2.1185,1,1.8346,,,,,,22,0,8,8,22,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,26,38,space,3.6701,26,3.0857,,,,,,31,0,9,9,31,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,33,38,space,3.837,36,3.4029,,,,,,23,0,10,10,23,1,,
,,,793,5a8a8de6000dab00018cc170,34,female,2022-11-22_17h08.45.119,onlinegloss,2022.2.3,Win32,60.87168249,,,,,,,,,30,38,space,3.2031,10,2.7854,,,,,,65,0,11,11,65,1,,
