button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.828400000095371],[7.828500000000005],689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,space,6.3647,,,,,,,,,,,,,,,,,,,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,40.4,40,,,,,,,,,,,,,,,,,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,space,8.5879,,,,,,,,,,,,,,,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,,,space,10.3834,,,,,,,,,,,,,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,,,,,31,42,space,20.3057,35,19.5255,0,0,0,0,1,101,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,,,,,36,42,space,4.6086,43,4.1187,0,1,1,1,1,102,,,,,,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,,,,,35,42,space,5.4338,19,4.6258,,,,,,66,0,0,0,66,1,,
,,,689,5d30857eb2f0ad00163470f3,52,female ,2022-11-22_16h49.16.994,onlinegloss,2022.2.3,Win32,60.03121623,,,,,,,,,42,42,space,3.6937,1,2.8399,,,,,,67,0,1,1,67,1,,
