button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.864099999904624],[8.864199999809244],1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,space,4.0969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,62.1,58.4,,,,,,,,,,,,,,,,,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,space,11.0008,,,,,,,,,,,,,,,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,space,11.2399,,,,,,,,,,,,,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,31,2,space,14.1195,45,13.8912,0,0,0,0,1,101,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,27,2,space,14.1504,40,14.0185,0,1,1,1,1,102,,,,,,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,36,2,space,13.117,26,12.9152,,,,,,70,0,0,0,70,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,26,2,space,9.9676,30,9.7123,,,,,,26,0,1,1,26,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,27,2,space,14.3115,22,14.1251,,,,,,58,0,2,2,58,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,41,2,space,4.0391,48,3.8672,,,,,,69,0,3,3,69,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,43,2,space,8.0661,13,7.9638,,,,,,71,0,4,4,71,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,40,2,space,6.4443,19,6.2532,,,,,,43,0,5,5,43,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,36,2,space,19.1058,22,18.8816,,,,,,48,0,6,6,48,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,36,2,space,5.3344,39,5.1825,,,,,,83,0,7,7,83,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,32,2,space,6.1509,9,5.8659,,,,,,9,0,8,8,9,1,,
,,,1046,5d116b095f3f0d00014d5e54,29,male,2022-11-23_14h59.56.696,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,29,2,space,4.1131,6,3.9406,,,,,,64,0,9,9,64,1,,
