button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.397099999994037],[8.397299999982117],448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,space,7.0904,,,,,,,,,,,,,,,,,,,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,50.6,40,,,,,,,,,,,,,,,,,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,space,24.9864,,,,,,,,,,,,,,,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,space,11.8766,,,,,,,,,,,,,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,31,17,space,8.6803,41,8.4546,0,0,0,0,1,101,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,35,17,space,10.0744,25,9.7584,0,1,1,1,1,102,,,,,,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,44,17,space,7.1142,3,6.7039,,,,,,16,0,0,0,16,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,43,17,space,3.1082,18,2.8456,,,,,,28,0,1,1,28,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,30,17,space,4.3762,9,4.1902,,,,,,53,0,2,2,53,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,32,17,space,7.849,25,7.6085,,,,,,23,0,3,3,23,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,37,17,space,8.9276,1,5.8137,,,,,,0,0,4,4,0,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,26,17,space,6.4714,44,6.3124,,,,,,15,0,5,5,15,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,31,17,space,2.647,1,2.5585,,,,,,14,0,6,6,14,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,41,17,space,2.4754,7,2.3262,,,,,,75,0,7,7,75,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,32,17,space,5.1649,14,4.8951,,,,,,45,0,8,8,45,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,32,17,space,3.634,26,3.5301,,,,,,52,0,9,9,52,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,31,17,space,4.2933,13,4.1657,,,,,,8,0,10,10,8,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,33,17,space,3.2838,19,2.4529,,,,,,62,0,11,11,62,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,30,17,space,2.884,44,1.7122,,,,,,84,0,12,12,84,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,48,17,space,2.3992,3,1.8263,,,,,,65,0,13,13,65,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,48,17,space,3.6964,23,3.5236,,,,,,29,0,14,14,29,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,44,17,space,2.2684,4,2.0775,,,,,,41,0,15,15,41,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,43,17,space,2.4409,4,2.0731,,,,,,51,0,16,16,51,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,39,17,space,2.1103,1,2.0085,,,,,,63,0,17,17,63,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,27,17,space,3.6477,37,3.4946,,,,,,70,0,18,18,70,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,51,17,space,3.0098,5,2.6437,,,,,,67,0,19,19,67,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,50,17,space,4.5232,22,3.7467,,,,,,18,0,20,20,18,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,50,17,space,2.2688,3,1.6559,,,,,,39,0,21,21,39,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,31,17,space,2.1648,1,1.7902,,,,,,25,0,22,22,25,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,36,17,space,3.9976,23,3.2685,,,,,,42,0,23,23,42,1,,
,,,448,5c43c3a3e72e1c000146e886,21,female,2022-11-22_14h36.47.855,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,28,17,space,2.6659,19,2.1794,,,,,,12,0,24,24,12,1,,
