button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.345999999999998],[4.345999999999998],585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,space,6.8319,,,,,,,,,,,,,,,,,,,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,36.5,36.2,,,,,,,,,,,,,,,,,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,space,9.9516,,,,,,,,,,,,,,,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,space,2.2206,,,,,,,,,,,,,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,43,46,space,8.0811,29,7.0612,0,0,0,0,1,101,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,37,46,space,5.699,52,5.3489,0,1,1,1,1,102,,,,,,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,35,46,space,5.7491,18,5.4471,,,,,,76,0,0,0,76,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,30,46,space,6.1324,52,5.9656,,,,,,81,0,1,1,81,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,41,46,space,4.649,1,4.2822,,,,,,31,0,2,2,31,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,45,46,space,3.5491,32,3.3492,,,,,,9,0,3,3,9,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,31,46,space,3.1159,28,2.9328,,,,,,13,0,4,4,13,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,30,46,space,3.6491,13,3.2325,,,,,,55,0,5,5,55,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,51,46,space,3.299,1,2.4658,,,,,,32,0,6,6,32,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,50,46,space,5.4491,16,5.2158,,,,,,6,0,7,7,6,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,38,46,space,2.2657,32,2.1494,,,,,,72,0,8,8,72,1,,
,,,585,5cab470fcc54e700150949f3,30,female,2022-11-22_14h50.19.805,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,27,46,space,2.5657,10,2.3496,,,,,,71,0,9,9,71,1,,
