button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.915899999999901],[4.915999999999997],545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,space,6.6482,,,,,,,,,,,,,,,,,,,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,52,51.8,,,,,,,,,,,,,,,,,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,space,20.0778,,,,,,,,,,,,,,,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,space,47.716,,,,,,,,,,,,,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,33,6,space,16.0417,51,14.5901,0,0,0,0,1,101,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,37,6,space,9.7404,24,9.3111,0,1,1,1,1,102,,,,,,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,52,6,space,6.3988,21,3.9668,,,,,,83,0,0,0,83,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,45,6,space,5.4171,4,2.8301,,,,,,34,0,1,1,34,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,36,6,space,6.5909,19,4.6431,,,,,,77,0,2,2,77,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,52,6,space,6.4127,8,4.56,,,,,,73,0,3,3,73,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,48,6,space,7.911,11,6.7411,,,,,,54,0,4,4,54,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,44,6,space,7.2053,22,4.3241,,,,,,81,0,5,5,81,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,49,6,space,6.3623,24,3.6407,,,,,,52,0,6,6,52,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,43,6,space,3.5471,1,2.4474,,,,,,49,0,7,7,49,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,42,6,space,4.8239,22,2.0967,,,,,,11,0,8,8,11,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,48,6,space,3.7616,2,2.0145,,,,,,72,0,9,9,72,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,38,6,space,3.9897,2,2.647,,,,,,53,0,10,10,53,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,48,6,space,3.6297,4,2.8397,,,,,,27,0,11,11,27,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,28,6,space,3.454,9,2.648,,,,,,63,0,12,12,63,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,48,6,space,3.1792,4,2.4897,,,,,,71,0,13,13,71,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,38,6,space,16.1315,52,14.6286,,,,,,62,0,14,14,62,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,37,6,space,4.2885,7,2.3147,,,,,,64,0,15,15,64,1,,
,,,545,5e277e5b5f39769bacb46101,e.g. 3048,female,2022-11-22_14h47.07.946,onlinegloss,2022.2.3,Win32,60.77549532,,,,,,,,,44,6,space,2.2973,3,1.9693,,,,,,66,0,16,16,66,1,,
