button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.074999999999989],[7.075100000143038],412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,space,6.2305,,,,,,,,,,,,,,,,,,,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,57.9,55.7,,,,,,,,,,,,,,,,,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,space,34.1277,,,,,,,,,,,,,,,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,space,27.9387,,,,,,,,,,,,,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,49,35,space,60.6201,37,54.768,0,0,0,0,1,101,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,36,35,space,33.518,25,32.235,0,1,1,1,1,102,,,,,,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,45,35,space,52.6947,1,50.0132,,,,,,23,0,0,0,23,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,44,35,space,18.1045,12,16.5936,,,,,,34,0,1,1,34,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,38,35,space,8.738,9,7.9582,,,,,,80,0,2,2,80,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,36,35,space,8.3753,1,6.5565,,,,,,79,0,3,3,79,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,37,35,space,25.4937,1,24.3722,,,,,,75,0,4,4,75,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,49,35,space,11.3955,1,10.587,,,,,,12,0,5,5,12,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,40,35,space,13.7615,12,13.1073,,,,,,78,0,6,6,78,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,45,35,space,7.7486,7,6.6619,,,,,,36,0,7,7,36,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,50,35,space,25.5329,1,23.6982,,,,,,61,0,8,8,61,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,45,35,space,14.457,1,11.4871,,,,,,26,0,9,9,26,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,34,35,space,15.885,43,15.1711,,,,,,32,0,10,10,32,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,50,35,space,9.5132,34,8.7673,,,,,,82,0,11,11,82,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,51,35,space,6.5403,1,4.5033,,,,,,39,0,12,12,39,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,42,35,space,10.1066,29,9.2535,,,,,,58,0,13,13,58,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,45,35,space,6.4182,35,5.916,,,,,,41,0,14,14,41,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,38,35,space,5.2797,28,4.703,,,,,,7,0,15,15,7,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,29,35,space,4.9034,2,3.8886,,,,,,11,0,16,16,11,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,30,35,space,6.9116,21,6.4645,,,,,,77,0,17,17,77,1,,
,,,412,5c366fc38821900001b38b67,49,female ,2022-11-22_10h46.31.327,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,36,35,space,6.4099,42,5.7896,,,,,,40,0,18,18,40,1,,
