button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.932200000047686],[4.932200000047686],501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,space,4.0176,,,,,,,,,,,,,,,,,,,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,50,50.9,,,,,,,,,,,,,,,,,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,space,7.2888,,,,,,,,,,,,,,,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,,,space,21.6429,,,,,,,,,,,,,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,,,,,32,16,space,8.2217,44,6.6122,0,0,0,0,1,101,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,,,,,44,16,space,6.193,25,5.7177,0,1,1,1,1,102,,,,,,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,,,,,28,16,space,3.9491,10,3.8795,,,,,,66,0,0,0,66,1,,
,,,501,5c9b534b519f7500182be9b7,46,female,2022-11-22_14h42.50.173,onlinegloss,2022.2.3,Win32,59.9880024,,,,,,,,,33,16,space,3.398,7,3.1189,,,,,,1,0,1,1,1,1,,
