button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.443799999997019],[8.444099999994044],894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,space,4.7642,,,,,,,,,,,,,,,,,,,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,35.3,35.3,,,,,,,,,,,,,,,,,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,space,15.932,,,,,,,,,,,,,,,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,space,13.7667,,,,,,,,,,,,,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,46,31,space,15.5535,22,9.1117,0,0,0,0,1,101,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,51,31,space,12.1914,17,11.1911,0,1,1,1,1,102,,,,,,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,32,31,space,7.3564,14,6.3682,,,,,,44,0,0,0,44,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,30,31,space,7.1328,6,6.1017,,,,,,3,0,1,1,3,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,38,31,space,7.9696,11,7.1799,,,,,,83,0,2,2,83,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,45,31,space,7.0622,6,6.1618,,,,,,82,0,3,3,82,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,37,31,space,7.9977,17,7.0549,,,,,,13,0,4,4,13,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,34,31,space,3.5626,1,2.1579,,,,,,69,0,5,5,69,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,41,31,space,7.6966,12,6.8459,,,,,,41,0,6,6,41,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,40,31,space,8.2801,14,7.9347,,,,,,9,0,7,7,9,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,31,31,space,3.9338,11,3.6344,,,,,,60,0,8,8,60,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,37,31,space,5.296,19,4.9125,,,,,,58,0,9,9,58,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,29,31,space,4.1541,10,3.8945,,,,,,20,0,10,10,20,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,34,31,space,11.8391,12,10.3666,,,,,,10,0,11,11,10,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,29,31,space,5.0884,19,1.382,,,,,,18,0,12,12,18,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,3.8438,1,2.6287,,,,,,45,0,13,13,45,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,8.3893,21,8.1141,,,,,,39,0,14,14,39,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,28,31,space,3.1867,1,2.6259,,,,,,5,0,15,15,5,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,2.9955,1,1.2826,,,,,,31,0,16,16,31,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,50,31,space,6.0778,8,5.3949,,,,,,50,0,17,17,50,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,41,31,space,4.5195,2,3.6611,,,,,,73,0,18,18,73,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,27,31,space,6.054,2,5.2997,,,,,,72,0,19,19,72,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,42,31,space,5.1886,7,4.5106,,,,,,2,0,20,20,2,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,32,31,space,5.9653,6,5.4113,,,,,,12,0,21,21,12,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,41,31,space,5.6185,13,5.0478,,,,,,76,0,22,22,76,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,52,31,space,7.3852,16,5.4945,,,,,,33,0,23,23,33,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,9.2514,13,9.0981,,,,,,81,0,24,24,81,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,47,31,space,6.1447,18,5.6949,,,,,,16,0,25,25,16,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,31,31,space,6.4493,7,6.2003,,,,,,22,0,26,26,22,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,2.0988,1,1.8914,,,,,,8,0,27,27,8,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,33,31,space,4.0839,4,3.2806,,,,,,34,0,28,28,34,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,27,31,space,6.437,17,5.4782,,,,,,28,0,29,29,28,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,36,31,space,3.6632,27,3.343,,,,,,15,0,30,30,15,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,32,31,space,4.1319,27,3.5453,,,,,,32,0,31,31,32,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,48,31,space,4.694,32,4.319,,,,,,14,0,32,32,14,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,30,31,space,5.9484,20,4.7496,,,,,,77,0,33,33,77,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,52,31,space,4.1782,13,2.2915,,,,,,65,0,34,34,65,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,46,31,space,2.6842,1,2.3486,,,,,,6,0,35,35,6,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,33,31,space,4.5313,32,4.1024,,,,,,84,0,36,36,84,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,52,31,space,5.6874,14,5.4834,,,,,,27,0,37,37,27,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,48,31,space,4.243,2,3.0977,,,,,,52,0,38,38,52,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,5.3483,6,5.099,,,,,,30,0,39,39,30,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,33,31,space,5.2892,10,4.9348,,,,,,78,0,40,40,78,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,40,31,space,3.6629,10,2.5495,,,,,,11,0,41,41,11,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,38,31,space,4.9852,13,4.8442,,,,,,48,0,42,42,48,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,33,31,space,7.233,20,6.9376,,,,,,42,0,43,43,42,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,33,31,space,3.6123,12,3.2326,,,,,,80,0,44,44,80,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,4.648,14,4.3953,,,,,,24,0,45,45,24,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,6.2323,9,5.5282,,,,,,49,0,46,46,49,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,35,31,space,6.591,5,6.0357,,,,,,67,0,47,47,67,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,3.5142,8,3.4265,,,,,,46,0,48,48,46,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,2.8877,1,2.5915,,,,,,4,0,49,49,4,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,46,31,space,4.046,1,3.6616,,,,,,71,0,50,50,71,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,33,31,space,8.2835,10,8.0471,,,,,,17,0,51,51,17,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,35,31,space,4.0634,4,3.6264,,,,,,43,0,52,52,43,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,32,31,space,8.5025,12,8.248,,,,,,7,0,53,53,7,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,44,31,space,1.9645,1,1.7658,,,,,,79,0,54,54,79,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,30,31,space,6.439,32,6.1962,,,,,,21,0,55,55,21,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,41,31,space,3.75,2,3.4679,,,,,,36,0,56,56,36,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,48,31,space,3.3459,7,3.1258,,,,,,51,0,57,57,51,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,35,31,space,2.4509,1,1.9416,,,,,,66,0,58,58,66,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,41,31,space,5.5489,37,5.3951,,,,,,74,0,59,59,74,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,46,31,space,8.473,6,8.2539,,,,,,62,0,60,60,62,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,9.9352,29,9.7065,,,,,,26,0,61,61,26,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,38,31,space,2.578,1,1.6983,,,,,,1,0,62,62,1,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,34,31,space,8.3544,7,7.5843,,,,,,68,0,63,63,68,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,51,31,space,9.7324,15,9.4005,,,,,,64,0,64,64,64,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,48,31,space,3.1119,1,2.1585,,,,,,57,0,65,65,57,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,31,31,space,5.9549,23,5.1527,,,,,,56,0,66,66,56,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,27,31,space,2.3956,1,1.8746,,,,,,53,0,67,67,53,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,47,31,space,5.7448,2,5.4782,,,,,,55,0,68,68,55,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,52,31,space,1.7446,1,1.2407,,,,,,37,0,69,69,37,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,34,31,space,1.9118,1,1.5799,,,,,,19,0,70,70,19,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,49,31,space,1.9492,1,1.4764,,,,,,54,0,71,71,54,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,42,31,space,1.552,1,1.258,,,,,,40,0,72,72,40,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,4.8384,2,4.5797,,,,,,61,0,73,73,61,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,44,31,space,11.6543,33,11.2175,,,,,,70,0,74,74,70,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,37,31,space,4.785,33,4.5992,,,,,,25,0,75,75,25,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,42,31,space,2.1649,1,1.7752,,,,,,75,0,76,76,75,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,1.644,1,1.3587,,,,,,35,0,77,77,35,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,8.6224,9,8.331,,,,,,47,0,78,78,47,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,43,31,space,15.6794,1,11.138,,,,,,0,0,79,79,0,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,30,31,space,4.3135,16,3.7351,,,,,,63,0,80,80,63,1,,
,,,894,5422aa8bfdf99b328c91b1ff,45,Female,2022-11-22_17h15.42.424,onlinegloss,2022.2.3,Win32,59.89458553,,,,,,,,,39,31,space,3.9375,22,3.7177,,,,,,29,0,81,81,29,1,,
