button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.909599999997766],[10.909699999999255],420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,space,7.2906,,,,,,,,,,,,,,,,,,,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,36.5,36.6,,,,,,,,,,,,,,,,,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,space,39.106,,,,,,,,,,,,,,,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,space,14.6572,,,,,,,,,,,,,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,47,43,space,22.2547,40,21.214,0,0,0,0,1,101,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,35,43,space,13.5371,27,9.9854,0,1,1,1,1,102,,,,,,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,43,space,13.0926,3,11.3914,,,,,,48,0,0,0,48,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,49,43,space,11.0684,35,10.1568,,,,,,50,0,1,1,50,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,52,43,space,8.9884,9,6.4176,,,,,,37,0,2,2,37,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,45,43,space,10.0861,28,8.9342,,,,,,61,0,3,3,61,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,52,43,space,10.1495,8,6.2354,,,,,,30,0,4,4,30,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,33,43,space,10.2777,19,8.6211,,,,,,7,0,5,5,7,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,30,43,space,7.6978,8,5.0815,,,,,,72,0,6,6,72,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,43,space,15.614,10,13.4602,,,,,,73,0,7,7,73,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,43,43,space,17.1275,32,15.7271,,,,,,31,0,8,8,31,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,28,43,space,12.0623,37,9.0713,,,,,,38,0,9,9,38,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,42,43,space,10.469,17,8.2181,,,,,,25,0,10,10,25,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,43,space,19.9258,17,15.8475,,,,,,8,0,11,11,8,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,38,43,space,9.066,36,7.9025,,,,,,56,0,12,12,56,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,34,43,space,7.8204,6,4.7022,,,,,,14,0,13,13,14,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,46,43,space,14.0452,15,13.0245,,,,,,6,0,14,14,6,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,43,space,9.8119,36,8.6407,,,,,,19,0,15,15,19,1,,
,,,420,5d02962b9ec8a000012db1a9,38,female,2022-11-22_14h23.19.457,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,37,43,space,7.9086,31,4.7656,,,,,,52,0,16,16,52,1,,
