button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[21.24739999997616],[21.24769999992848],311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,space,7.0716,,,,,,,,,,,,,,,,,,,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,39.5,40,,,,,,,,,,,,,,,,,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,space,98.7832,,,,,,,,,,,,,,,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,space,38.5716,,,,,,,,,,,,,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,34,42,space,44.8429,38,27.1122,0,0,0,0,1,101,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,41,42,space,15.5006,32,13.7618,0,1,1,1,1,102,,,,,,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,41,42,space,6.4579,52,5.1261,,,,,,84,0,0,0,84,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,49,42,space,6.4313,9,5.4436,,,,,,28,0,1,1,28,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,38,42,space,5.7618,14,5.2196,,,,,,7,0,2,2,7,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,43,42,space,16.1209,18,13.0105,,,,,,80,0,3,3,80,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,32,42,space,10.1126,45,7.6556,,,,,,74,0,4,4,74,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,33,42,space,7.0026,3,4.3697,,,,,,15,0,5,5,15,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,41,42,space,4.5683,4,3.1365,,,,,,64,0,6,6,64,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,52,42,space,7.5145,39,5.8317,,,,,,30,0,7,7,30,1,,
,,,311,5929b05b6c835800011a31cc,29,female,2022-11-22_09h36.01.552,onlinegloss,2022.2.3,Win32,59.93407252,,,,,,,,,38,42,space,7.0648,52,3.7395,,,,,,40,0,8,8,40,1,,
