button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.8981999999992567],[2.898299999997022],1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,space,7.5411,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,35.8,36.8,,,,,,,,,,,,,,,,,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,space,9.8994,,,,,,,,,,,,,,,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,space,19.0591,,,,,,,,,,,,,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,26,2,space,37.1661,43,36.4323,0,0,0,0,1,101,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,27,2,space,16.4274,20,14.988,0,1,1,1,1,102,,,,,,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,35,2,space,22.6774,14,21.1039,,,,,,82,0,0,0,82,1,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,29,2,space,14.0956,16,13.0413,,,,,,72,0,1,1,72,1,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,45,2,space,20.598,31,19.7052,,,,,,14,0,2,2,14,1,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,42,2,space,18.7461,18,18.122,,,,,,63,0,3,3,63,1,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,34,2,space,6.8359,2,4.589,,,,,,21,0,4,4,21,1,,
,,,1102,5f833576d62eab0b52cbe955,58,male,2022-11-23_15h13.56.595,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,32,2,space,5.0016,2,2.7059,,,,,,10,0,5,5,10,1,,
