button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[44.1881000000015],[44.1881000000015],679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,space,5.2254,,,,,,,,,,,,,,,,,,,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,43.1,43.1,,,,,,,,,,,,,,,,,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,space,25.8921,,,,,,,,,,,,,,,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,space,16.7547,,,,,,,,,,,,,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,50,32,space,24.2477,42,22.4922,0,0,0,0,1,101,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,51,32,space,31.0608,48,30.5185,0,1,1,1,1,102,,,,,,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,38,32,space,11.8275,5,11.3321,,,,,,48,0,0,0,48,1,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,47,32,space,13.0664,11,12.7867,,,,,,70,0,1,1,70,1,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,28,32,space,13.0937,3,12.1465,,,,,,17,0,2,2,17,1,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,33,32,space,10.6966,25,10.2017,,,,,,81,0,3,3,81,1,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,32,32,space,10.9389,9,10.5972,,,,,,49,0,4,4,49,1,,
,,,679,5ce9b0e4be5a6b00163f6870,56, male,2022-11-22_15h40.22.926,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,47,32,space,20.1124,17,19.8014,,,,,,9,0,5,5,9,1,,
