button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.428200000000189],[4.428200000000189],389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,space,7.6478,,,,,,,,,,,,,,,,,,,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,44.7,40.7,,,,,,,,,,,,,,,,,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,space,9.3226,,,,,,,,,,,,,,,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,space,10.3671,,,,,,,,,,,,,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,12,space,1.2491,,,0,0,0,0,1,101,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,28,12,space,5.4464,44,4.8027,0,1,1,1,1,102,,,,,,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,12,space,3.124,46,1.7522,,,,,,3,0,0,0,3,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,26,12,space,10.8333,46,9.9959,,,,,,74,0,1,1,74,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,49,12,space,2.9319,2,2.5858,,,,,,10,0,2,2,10,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,43,12,space,3.6017,2,2.3719,,,,,,43,0,3,3,43,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,12,space,4.3278,14,3.2085,,,,,,80,0,4,4,80,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,12,space,2.2598,2,1.8079,,,,,,82,0,5,5,82,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,47,12,space,3.527,9,2.3789,,,,,,62,0,6,6,62,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,34,12,space,4.4458,26,3.1893,,,,,,66,0,7,7,66,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,48,12,space,2.6931,2,2.2256,,,,,,79,0,8,8,79,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,12,space,1.4476,2,1.1059,,,,,,45,0,9,9,45,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,12,space,2.5619,14,1.8894,,,,,,42,0,10,10,42,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,12,space,2.7172,11,1.8562,,,,,,53,0,11,11,53,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,38,12,space,3.8017,18,2.2587,,,,,,41,0,12,12,41,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,41,12,space,2.5479,3,1.9758,,,,,,21,0,13,13,21,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,34,12,space,3.7539,14,2.3042,,,,,,83,0,14,14,83,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,46,12,space,4.0558,40,3.3387,,,,,,48,0,15,15,48,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,31,12,space,2.7601,22,2.1406,,,,,,73,0,16,16,73,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,33,12,space,2.6271,5,1.872,,,,,,75,0,17,17,75,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,12,space,2.6853,21,2.1455,,,,,,50,0,18,18,50,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,49,12,space,2.3204,28,1.8036,,,,,,16,0,19,19,16,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,40,12,space,1.7695,8,1.3562,,,,,,20,0,20,20,20,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,12,space,5.4601,14,4.8968,,,,,,36,0,21,21,36,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,29,12,space,3.6607,25,3.1232,,,,,,24,0,22,22,24,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,36,12,space,3.3619,6,2.0966,,,,,,56,0,23,23,56,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,12,space,3.4945,11,2.0786,,,,,,38,0,24,24,38,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,34,12,space,3.5008,5,2.0248,,,,,,71,0,25,25,71,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,40,12,space,7.5057,1,7.0388,,,,,,0,0,26,26,0,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,12,space,4.4648,12,3.2726,,,,,,23,0,27,27,23,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,26,12,space,2.8845,43,1.706,,,,,,67,0,28,28,67,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,12,space,5.1267,26,4.0864,,,,,,78,0,29,29,78,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,47,12,space,3.11,32,2.0893,,,,,,81,0,30,30,81,1,,
,,,389,5e918309b3f91e4bb747a462,30,male,2022-11-22_09h42.03.340,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,28,12,space,3.1394,20,1.9067,,,,,,68,0,31,31,68,1,,
