button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.019499999999994],[10.019600000023836],101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,space,19.9734,,,,,,,,,,,,,,,,,,,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,41.1,40.9,,,,,,,,,,,,,,,,,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,space,34.1727,,,,,,,,,,,,,,,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,space,219.7622,,,,,,,,,,,,,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,33,48,space,8.242,34,7.1695,0,0,0,0,1,101,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,46,48,space,11.8585,16,9.4617,0,1,1,1,1,102,,,,,,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,42,48,space,6.7274,1,5.8953,,,,,,24,0,0,0,24,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,45,48,space,2.9642,1,2.1814,,,,,,47,0,1,1,47,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,35,48,space,4.6432,4,4.23,,,,,,39,0,2,2,39,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,30,48,space,4.7745,9,4.3763,,,,,,11,0,3,3,11,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,39,48,space,11.0816,7,9.9382,,,,,,22,0,4,4,22,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,32,48,space,6.3564,41,5.3077,,,,,,84,0,5,5,84,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,27,48,space,8.1799,18,6.0369,,,,,,80,0,6,6,80,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,26,48,space,6.0391,4,3.7417,,,,,,62,0,7,7,62,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,27,48,space,3.0153,2,1.7551,,,,,,61,0,8,8,61,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,47,48,space,11.5654,17,10.5557,,,,,,77,0,9,9,77,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,40,48,space,4.3698,1,2.8959,,,,,,54,0,10,10,54,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,27,48,space,5.1081,1,4.2193,,,,,,56,0,11,11,56,1,,
,,,101,5edf7758682c59234c0adf4b,30,female,2022-11-21_12h56.01.874,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,45,48,space,5.9571,1,4.8178,,,,,,17,0,12,12,17,1,,
