button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.497600000023837],[2.4978000000715213],926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,space,3.5422,,,,,,,,,,,,,,,,,,,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,49.3,48.4,,,,,,,,,,,,,,,,,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,space,11.3337,,,,,,,,,,,,,,,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,space,17.6865,,,,,,,,,,,,,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,31,9,space,17.7518,45,16.555,0,0,0,0,1,101,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,33,9,space,6.8487,25,5.1248,0,1,1,1,1,102,,,,,,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,36,9,space,7.8324,33,7.2524,,,,,,19,0,0,0,19,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,52,9,space,4.244,2,2.569,,,,,,23,0,1,1,23,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,50,9,space,5.7302,20,4.1951,,,,,,34,0,2,2,34,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,46,9,space,3.4036,1,2.3634,,,,,,3,0,3,3,3,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,38,9,space,1.8043,,,,,,,,41,0,4,4,41,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,42,9,space,7.735,12,7.236,,,,,,71,0,5,5,71,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,33,9,space,3.3871,1,2.5878,,,,,,31,0,6,6,31,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,40,9,space,8.9116,36,7.8373,,,,,,16,0,7,7,16,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,9,space,3.6714,2,3.0624,,,,,,51,0,8,8,51,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,9,space,6.5436,18,5.6537,,,,,,52,0,9,9,52,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,49,9,space,10.5766,12,10.1177,,,,,,60,0,10,10,60,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,41,9,space,3.4114,7,1.9159,,,,,,13,0,11,11,13,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,49,9,space,3.1792,2,1.9153,,,,,,15,0,12,12,15,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,36,9,space,6.7847,11,5.056,,,,,,5,0,13,13,5,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,44,9,space,6.7284,15,5.4466,,,,,,50,0,14,14,50,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,39,9,space,3.5973,6,2.2871,,,,,,48,0,15,15,48,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,49,9,space,8.857,14,8.6466,,,,,,47,0,16,16,47,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,37,9,space,7.6282,23,6.3707,,,,,,69,0,17,17,69,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,9,space,3.261,1,2.0155,,,,,,68,0,18,18,68,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,26,9,space,8.0523,12,7.615,,,,,,53,0,19,19,53,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,36,9,space,6.6767,11,4.422,,,,,,27,0,20,20,27,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,47,9,space,6.6438,42,5.3367,,,,,,37,0,21,21,37,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,49,9,space,3.0265,2,2.3644,,,,,,7,0,22,22,7,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,47,9,space,1.0797,,,,,,,,62,0,23,23,62,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,38,9,space,3.5726,,,,,,,,84,0,24,24,84,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,42,9,space,3.0033,7,2.0555,,,,,,39,0,25,25,39,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,36,9,space,3.4024,17,2.8456,,,,,,21,0,26,26,21,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,26,9,space,2.7756,6,2.0209,,,,,,73,0,27,27,73,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,29,9,space,1.818,6,1.3107,,,,,,66,0,28,28,66,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,43,9,space,24.5123,7,16.19,,,,,,0,0,29,29,0,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,51,9,space,10.1793,20,9.3206,,,,,,32,0,30,30,32,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,9,space,3.2438,2,2.1953,,,,,,17,0,31,31,17,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,9,space,5.7277,16,4.247,,,,,,1,0,32,32,1,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,47,9,space,4.7476,10,2.3144,,,,,,76,0,33,33,76,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,32,9,space,3.7282,9,3.2276,,,,,,54,0,34,34,54,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,34,9,space,2.7608,16,1.8814,,,,,,81,0,35,35,81,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,28,9,space,2.6863,4,2.3309,,,,,,20,0,36,36,20,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,41,9,space,4.7366,16,3.2541,,,,,,59,0,37,37,59,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,35,9,space,2.2722,17,1.5899,,,,,,78,0,38,38,78,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,48,9,space,3.9417,6,2.9798,,,,,,28,0,39,39,28,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,46,9,space,2.285,8,1.4787,,,,,,65,0,40,40,65,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,29,9,space,5.9853,22,5.5557,,,,,,63,0,41,41,63,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,43,9,space,2.3735,1,1.972,,,,,,18,0,42,42,18,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,33,9,space,5.0394,1,4.2385,,,,,,58,0,43,43,58,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,29,9,space,4.9789,13,4.362,,,,,,70,0,44,44,70,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,40,9,space,3.0374,3,1.9045,,,,,,25,0,45,45,25,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,50,9,space,1.9896,3,1.6729,,,,,,79,0,46,46,79,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,52,9,space,3.1802,20,2.1416,,,,,,33,0,47,47,33,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,38,9,space,2.8869,18,2.1937,,,,,,38,0,48,48,38,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,40,9,space,3.3434,22,2.6942,,,,,,40,0,49,49,40,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,28,9,space,3.1024,20,1.9221,,,,,,29,0,50,50,29,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,49,9,space,3.5282,21,1.7186,,,,,,83,0,51,51,83,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,38,9,space,2.303,18,1.6217,,,,,,35,0,52,52,35,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,30,9,space,4.3051,19,2.0875,,,,,,42,0,53,53,42,1,,
,,,926,5d45d2c3b30ae50001578172,38,female ,2022-11-22_17h20.28.565,onlinegloss,2022.2.3,Win32,60.01680471,,,,,,,,,35,9,space,2.907,18,2.6079,,,,,,30,0,54,54,30,1,,
