button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.2379999999999995],[5.2381000000089415],137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,space,7.0395,,,,,,,,,,,,,,,,,,,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,39.1,39.6,,,,,,,,,,,,,,,,,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,space,12.3268,,,,,,,,,,,,,,,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,space,15.1388,,,,,,,,,,,,,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,51,30,space,14.2206,32,13.8559,0,0,0,0,1,101,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,49,30,space,6.4218,45,6.1204,0,1,1,1,1,102,,,,,,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,46,30,space,5.9215,16,5.2348,,,,,,16,0,0,0,16,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,39,30,space,5.371,18,4.2693,,,,,,60,0,1,1,60,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,37,30,space,7.89,39,7.706,,,,,,81,0,2,2,81,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,49,30,space,6.4887,1,6.2046,,,,,,17,0,3,3,17,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,46,30,space,4.6036,45,4.3195,,,,,,77,0,4,4,77,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,29,30,space,4.9707,17,4.0361,,,,,,73,0,5,5,73,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,34,30,space,4.1032,20,3.5689,,,,,,24,0,6,6,24,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,27,30,space,8.2234,24,8.1229,,,,,,6,0,7,7,6,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,33,30,space,6.1217,37,4.6367,,,,,,57,0,8,8,57,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,47,30,space,4.0201,1,2.4514,,,,,,10,0,9,9,10,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,44,30,space,6.3719,25,6.1547,,,,,,31,0,10,10,31,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,33,30,space,3.7195,33,3.3021,,,,,,33,0,11,11,33,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,27,30,space,3.8197,47,3.7026,,,,,,74,0,12,12,74,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,51,30,space,5.7714,4,5.6875,,,,,,29,0,13,13,29,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,39,30,space,5.0875,10,4.8033,,,,,,36,0,14,14,36,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,50,30,space,7.4728,31,7.1389,,,,,,80,0,15,15,80,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,42,30,space,4.4037,29,4.1195,,,,,,67,0,16,16,67,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,26,30,space,3.8029,28,3.7357,,,,,,71,0,17,17,71,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,27,30,space,5.1877,14,4.9203,,,,,,40,0,18,18,40,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,44,30,space,4.7372,45,4.67,,,,,,84,0,19,19,84,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,47,30,space,3.7863,3,3.6025,,,,,,34,0,20,20,34,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,29,30,space,3.5863,9,3.2353,,,,,,49,0,21,21,49,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,48,30,space,2.7521,32,2.4847,,,,,,11,0,22,22,11,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,41,30,space,2.5019,1,1.6672,,,,,,37,0,23,23,37,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,42,30,space,6.8557,29,6.6384,,,,,,56,0,24,24,56,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,37,30,space,2.9022,10,2.6015,,,,,,75,0,25,25,75,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,36,30,space,7.1892,1,5.187,,,,,,0,0,26,26,0,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,34,30,space,5.1375,29,5.1037,,,,,,72,0,27,27,72,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,39,30,space,3.536,19,2.5847,,,,,,42,0,28,28,42,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,46,30,space,3.3024,13,2.1676,,,,,,65,0,29,29,65,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,47,30,space,3.7531,23,3.5357,,,,,,38,0,30,30,38,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,40,30,space,3.6195,9,3.452,,,,,,32,0,31,31,32,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,48,30,space,4.0866,26,3.8193,,,,,,70,0,32,32,70,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,33,30,space,5.6045,11,5.504,,,,,,43,0,33,33,43,1,,
,,,137,5aed67f69457e00001054b11,28,male,2022-11-22_09h12.22.831,onlinegloss,2022.2.3,Win32,60.0132029,,,,,,,,,36,30,space,2.3686,24,1.9842,,,,,,41,0,34,34,41,1,,
