button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.2808999999985105],[5.2808999999985105],813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,space,4.6506,,,,,,,,,,,,,,,,,,,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,49.2,49.7,,,,,,,,,,,,,,,,,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,space,31.3114,,,,,,,,,,,,,,,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,space,9.425,,,,,,,,,,,,,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,50,4,space,9.4493,37,7.6754,0,0,0,0,1,101,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,46,4,space,10.432,27,9.2515,0,1,1,1,1,102,,,,,,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,46,4,space,4.6913,1,3.7691,,,,,,15,0,0,0,15,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,4,space,4.7554,13,4.4084,,,,,,16,0,1,1,16,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,49,4,space,4.7534,24,4.592,,,,,,50,0,2,2,50,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,43,4,space,8.5332,38,8.2931,,,,,,14,0,3,3,14,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,50,4,space,4.1441,25,3.9252,,,,,,42,0,4,4,42,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,4,space,5.0199,2,3.7091,,,,,,79,0,5,5,79,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,41,4,space,5.2987,31,5.076,,,,,,77,0,6,6,77,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,4,space,3.4495,11,3.1917,,,,,,64,0,7,7,64,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,4,space,2.4832,1,1.9929,,,,,,60,0,8,8,60,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,4,space,4.3513,9,3.9454,,,,,,76,0,9,9,76,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,4,space,6.5652,21,5.9607,,,,,,80,0,10,10,80,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,30,4,space,5.4566,1,4.4707,,,,,,0,0,11,11,0,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,46,4,space,2.8325,1,2.4091,,,,,,1,0,12,12,1,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,31,4,space,3.2323,10,3.0025,,,,,,82,0,13,13,82,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,33,4,space,4.4813,14,3.8919,,,,,,24,0,14,14,24,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,4,space,5.0695,17,4.64,,,,,,45,0,15,15,45,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,4,space,6.0994,28,5.2937,,,,,,7,0,16,16,7,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,47,4,space,6.9754,26,6.562,,,,,,21,0,17,17,21,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,38,4,space,3.6317,8,3.3439,,,,,,10,0,18,18,10,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,49,4,space,8.2095,41,7.9587,,,,,,74,0,19,19,74,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,4,space,4.8202,27,4.0435,,,,,,61,0,20,20,61,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,29,4,space,10.8464,34,10.544,,,,,,46,0,21,21,46,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,4,space,4.5991,28,4.1246,,,,,,40,0,22,22,40,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,49,4,space,3.7969,38,3.2448,,,,,,20,0,23,23,20,1,,
,,,813,62ce97db1fa788670dea28c2,32,female,2022-11-22_17h10.00.341,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,30,4,space,3.7134,31,3.4558,,,,,,35,0,24,24,35,1,,
