button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.016000000000002],[12.016000000000002],863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,space,5.558,,,,,,,,,,,,,,,,,,,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,33.8,32.7,,,,,,,,,,,,,,,,,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,12.056,,,,,,,,,,,,,,,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,24.614,,,,,,,,,,,,,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,54,space,9.241,41,8.757,0,0,0,0,1,101,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,54,space,9.448,44,8.873,0,1,1,1,1,102,,,,,,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,54,space,3.383,25,3.116,,,,,,46,0,0,0,46,1,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,54,space,4.91,20,4.327,,,,,,80,0,1,1,80,1,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,54,space,5.145,5,4.78,,,,,,16,0,2,2,16,1,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,54,space,5.871,18,5.649,,,,,,47,0,3,3,47,1,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,54,space,3.515,19,3.274,,,,,,42,0,4,4,42,1,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,54,space,5.414,27,4.979,,,,,,55,0,5,5,55,1,,
,,,863,5a958b94f05361000171c522,61,female,2022-11-22_17h13.24.425,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,54,space,4.168,5,3.742,,,,,,31,0,6,6,31,1,,
