button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.900199999988061],[2.900199999988061],1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,space,25.5104,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,41.4,41.6,,,,,,,,,,,,,,,,,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,space,81.9517,,,,,,,,,,,,,,,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,space,21.2181,,,,,,,,,,,,,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,40,1,space,32.6815,14,31.7716,0,0,0,0,1,101,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,38,1,space,13.6162,18,12.5581,0,1,1,1,1,102,,,,,,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,28,1,space,11.592,11,10.8171,,,,,,54,0,0,0,54,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,40,1,space,13.5325,7,12.4424,,,,,,28,0,1,1,28,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,27,1,space,28.5224,21,26.9985,,,,,,72,0,2,2,72,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,41,1,space,8.3669,8,7.5454,,,,,,64,0,3,3,64,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,41,1,space,15.9833,8,14.9584,,,,,,6,0,4,4,6,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,46,1,space,4.4662,1,3.7626,,,,,,41,0,5,5,41,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,28,1,space,8.123,5,6.6043,,,,,,58,0,6,6,58,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,33,1,space,7.6961,19,5.8582,,,,,,2,0,7,7,2,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,43,1,space,5.863,28,5.6714,,,,,,33,0,8,8,33,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,50,1,space,5.3702,11,4.9462,,,,,,69,0,9,9,69,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,28,1,space,6.129,20,5.6724,,,,,,48,0,10,10,48,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,28,1,space,6.8803,15,5.7649,,,,,,46,0,11,11,46,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,34,1,space,12.4926,15,12.2408,,,,,,12,0,12,12,12,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,44,1,space,6.5438,17,6.1555,,,,,,77,0,13,13,77,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,32,1,space,3.4303,1,2.1777,,,,,,68,0,14,14,68,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,28,1,space,6.0025,5,5.1165,,,,,,3,0,15,15,3,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,29,1,space,7.0862,4,6.2647,,,,,,52,0,16,16,52,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,34,1,space,5.608,18,5.2512,,,,,,60,0,17,17,60,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,34,1,space,12.2032,6,11.6455,,,,,,23,0,18,18,23,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,35,1,space,6.5567,13,4.0674,,,,,,55,0,19,19,55,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,44,1,space,5.1193,3,4.9161,,,,,,79,0,20,20,79,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,30,1,space,12.0637,8,11.1274,,,,,,56,0,21,21,56,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,30,1,space,5.2395,21,3.6816,,,,,,19,0,22,22,19,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,39,1,space,2.9396,21,1.8684,,,,,,38,0,23,23,38,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,34,1,space,5.6085,13,4.4996,,,,,,78,0,24,24,78,1,,
,,,1009,603a97184049ae6c4a3a98c2,47,male,2022-11-23_12h02.40.978,onlinegloss,2022.2.3,Win32,59.64807635,,,,,,,,,29,1,space,8.4232,10,6.9385,,,,,,30,0,25,25,30,1,,
