button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[9.895499999999998],[9.895699999999255],851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,space,5.0446,,,,,,,,,,,,,,,,,,,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,35.9,36.1,,,,,,,,,,,,,,,,,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,space,24.74,,,,,,,,,,,,,,,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,space,6.8119,,,,,,,,,,,,,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,46,42,space,10.489,16,9.8209,0,0,0,0,1,101,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,47,42,space,17.5926,19,16.4101,0,1,1,1,1,102,,,,,,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,29,42,space,10.256,41,8.1007,,,,,,33,0,0,0,33,1,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,31,42,space,8.3451,5,6.7721,,,,,,49,0,1,1,49,1,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,28,42,space,8.368,19,6.2054,,,,,,83,0,2,2,83,1,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,32,42,space,10.5084,6,9.6376,,,,,,51,0,3,3,51,1,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,44,42,space,9.3257,15,8.5478,,,,,,19,0,4,4,19,1,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,46,42,space,8.0677,1,6.6977,,,,,,25,0,5,5,25,1,,
,,,851,5e132349b199e49599de669e,51,female,2022-11-22_17h12.31.303,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,52,42,space,10.4353,33,9.8437,,,,,,54,0,6,6,54,1,,
