button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.083300000071528],[6.083500000000001],1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,space,4.9157,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,36.3,36.2,,,,,,,,,,,,,,,,,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,space,14.2897,,,,,,,,,,,,,,,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,space,10.4435,,,,,,,,,,,,,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,34,30,space,8.5915,30,7.9761,0,0,0,0,1,101,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,30,30,space,4.8016,28,4.1503,0,1,1,1,1,102,,,,,,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,44,30,space,2.207,9,2.0346,,,,,,40,0,0,0,40,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,52,30,space,4.0329,21,3.5181,,,,,,45,0,1,1,45,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,42,30,space,2.1825,17,1.8855,,,,,,48,0,2,2,48,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,35,30,space,2.5596,3,2.3181,,,,,,10,0,3,3,10,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,47,30,space,2.4409,10,2.3491,,,,,,19,0,4,4,19,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,45,30,space,4.1011,18,3.9389,,,,,,72,0,5,5,72,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,27,30,space,3.0051,3,2.8874,,,,,,27,0,6,6,27,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,36,30,space,3.8469,3,3.8187,,,,,,1,0,7,7,1,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,52,30,space,1.8443,8,1.7635,,,,,,17,0,8,8,17,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,42,30,space,2.2262,17,1.9298,,,,,,12,0,9,9,12,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,38,30,space,1.5251,3,1.3782,,,,,,55,0,10,10,55,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,50,30,space,1.9575,2,1.9136,,,,,,64,0,11,11,64,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,37,30,space,2.3652,20,2.0975,,,,,,67,0,12,12,67,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,42,30,space,2.4482,35,2.3312,,,,,,28,0,13,13,28,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,51,30,space,1.5926,7,1.3833,,,,,,79,0,14,14,79,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,28,30,space,1.8461,32,1.633,,,,,,77,0,15,15,77,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,44,30,space,1.6948,44,1.5352,,,,,,7,0,16,16,7,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,31,30,space,1.668,12,1.5801,,,,,,70,0,17,17,70,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,46,30,space,1.4536,22,1.1922,,,,,,81,0,18,18,81,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,42,30,space,1.6197,11,1.5544,,,,,,57,0,19,19,57,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,46,30,space,2.266,2,2.2223,,,,,,68,0,20,20,68,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,50,30,space,1.6978,32,1.6374,,,,,,73,0,21,21,73,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,30,30,space,1.6535,31,1.553,,,,,,33,0,22,22,33,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,48,30,space,1.5656,4,1.4247,,,,,,56,0,23,23,56,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,47,30,space,1.6827,25,1.6285,,,,,,24,0,24,24,24,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,49,30,space,1.6235,6,1.612,,,,,,16,0,25,25,16,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,27,30,space,2.7135,3,2.5855,,,,,,62,0,26,26,62,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,48,30,space,1.5453,1,1.4786,,,,,,47,0,27,27,47,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,50,30,space,1.6123,11,1.5614,,,,,,66,0,28,28,66,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,49,30,space,1.6988,23,1.4283,,,,,,60,0,29,29,60,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,35,30,space,1.5805,20,1.2784,,,,,,76,0,30,30,76,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,51,30,space,1.7339,33,1.6483,,,,,,80,0,31,31,80,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,41,30,space,1.4257,10,1.3118,,,,,,49,0,32,32,49,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,44,30,space,1.3463,4,1.2772,,,,,,52,0,33,33,52,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,47,30,space,1.5433,28,1.4786,,,,,,14,0,34,34,14,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,34,30,space,1.1165,19,0.9263,,,,,,9,0,35,35,9,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,38,30,space,1.3981,23,1.3179,,,,,,36,0,36,36,36,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,29,30,space,1.6134,8,1.5447,,,,,,35,0,37,37,35,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,46,30,space,1.3114,6,1.0497,,,,,,54,0,38,38,54,1,,
,,,1163,5975ea651a800200011cd0f7,39,Male,2022-11-23_17h48.03.383,onlinegloss,2022.2.3,Win32,59.61251863,,,,,,,,,41,30,space,1.1809,22,1.11,,,,,,42,0,39,39,42,1,,
