button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.7600000000000016],[1.7600000000000016],276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,space,4.6577,,,,,,,,,,,,,,,,,,,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,42.1,40,,,,,,,,,,,,,,,,,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,space,23.9719,,,,,,,,,,,,,,,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,space,19.5754,,,,,,,,,,,,,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,30,7,space,17.7052,15,16.6754,0,0,0,0,1,101,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,32,7,space,11.4316,24,10.2435,0,1,1,1,1,102,,,,,,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,31,7,space,17.427,19,16.8234,,,,,,48,0,0,0,48,1,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,34,7,space,8.3384,7,7.8643,,,,,,29,0,1,1,29,1,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,27,7,space,5.8463,6,2.9326,,,,,,7,0,2,2,7,1,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,51,7,space,15.0173,25,14.7862,,,,,,67,0,3,3,67,1,,
,,,276,5422cca4fdf99b328c91b21b,38,female ,2022-11-22_09h34.06.945,onlinegloss,2022.2.3,Win32,60.32454606,,,,,,,,,29,7,space,4.169,12,2.3829,,,,,,10,0,4,4,10,1,,
