button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[28.877499999999998],[28.87780000000072],945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,space,8.0062,,,,,,,,,,,,,,,,,,,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,44.3,44.3,,,,,,,,,,,,,,,,,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,space,61.9129,,,,,,,,,,,,,,,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,space,65.556,,,,,,,,,,,,,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,38,28,space,49.48,48,48.3357,0,0,0,0,1,101,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,27,28,space,32.9125,29,31.4546,0,1,1,1,1,102,,,,,,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,40,28,space,13.1065,14,11.8228,,,,,,21,0,0,0,21,1,,
,,,945,60fe8de5380ae67bf7370ac8,30,Female ,2022-11-22_17h27.23.151,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,48,28,space,13.8892,5,10.3503,,,,,,37,0,1,1,37,1,,
