button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.5451000000238437],[3.5451000000238437],826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,space,9.2588,,,,,,,,,,,,,,,,,,,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,60,40,,,,,,,,,,,,,,,,,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,space,4.4108,,,,,,,,,,,,,,,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,space,14.9422,,,,,,,,,,,,,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,37,17,space,11.4075,39,9.7557,0,0,0,0,1,101,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,40,17,space,4.9301,45,4.4183,0,1,1,1,1,102,,,,,,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,36,17,space,6.2682,26,5.0111,,,,,,25,0,0,0,25,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,40,17,space,4.0175,9,3.6125,,,,,,32,0,1,1,32,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,27,17,space,3.8135,31,3.5118,,,,,,38,0,2,2,38,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,33,17,space,8.5152,14,8.186,,,,,,10,0,3,3,10,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,29,17,space,2.2164,13,1.9235,,,,,,79,0,4,4,79,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,46,17,space,2.9765,29,2.7431,,,,,,78,0,5,5,78,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,40,17,space,2.4178,35,2.2475,,,,,,40,0,6,6,40,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,43,17,space,2.9296,15,2.7644,,,,,,8,0,7,7,8,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,49,17,space,2.6429,24,2.4428,,,,,,5,0,8,8,5,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,39,17,space,2.9415,14,2.7595,,,,,,30,0,9,9,30,1,,
,,,826,5d63c128888f91000176ecbc,57,male,2022-11-22_17h10.24.537,onlinegloss,2022.2.3,Win32,60.0060006,,,,,,,,,26,17,space,3.5953,9,3.2602,,,,,,2,0,10,10,2,1,,
