button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.075500000000002],[6.075500000000002],667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,space,4.9771,,,,,,,,,,,,,,,,,,,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,58.7,53.3,,,,,,,,,,,,,,,,,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,space,7.5107,,,,,,,,,,,,,,,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,space,12.072,,,,,,,,,,,,,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,28,20,space,19.0704,16,18.7952,0,0,0,0,1,101,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,48,20,space,9.8032,25,9.2448,0,1,1,1,1,102,,,,,,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,31,20,space,7.396,15,6.7282,,,,,,48,0,0,0,48,1,,
,,,667,5b1ceecd2767e20001e51eaa,22,female,2022-11-22_15h03.43.074,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,28,20,space,6.5017,39,6.1121,,,,,,27,0,1,1,27,1,,
