button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.7413000000044647],[3.7413000000044647],883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,space,5.167,,,,,,,,,,,,,,,,,,,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,56.7,53.7,,,,,,,,,,,,,,,,,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,space,12.4915,,,,,,,,,,,,,,,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,space,11.5454,,,,,,,,,,,,,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,32,20,space,10.523,32,9.7117,0,0,0,0,1,101,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,28,20,space,6.3126,26,6.0649,0,1,1,1,1,102,,,,,,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,41,20,space,3.4494,20,2.2905,,,,,,29,0,0,0,29,1,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,39,20,space,5.1163,31,4.2343,,,,,,8,0,1,1,8,1,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,34,20,space,3.3514,20,2.9286,,,,,,64,0,2,2,64,1,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,48,20,space,3.9747,14,3.1625,,,,,,51,0,3,3,51,1,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,43,20,space,7.1176,27,6.7362,,,,,,15,0,4,4,15,1,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,34,20,space,8.2237,9,6.1654,,,,,,22,0,5,5,22,1,,
,,,883,5cfb77e325ffc100019a1299,37,male,2022-11-22_17h15.11.555,onlinegloss,2022.2.3,Linux x86_64,59.94125757,,,,,,,,,46,20,space,3.567,3,2.5743,,,,,,33,0,6,6,33,1,,
