button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.782999999999998],[12.785],553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,space,8.021,,,,,,,,,,,,,,,,,,,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,44.7,43.2,,,,,,,,,,,,,,,,,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,space,11.383,,,,,,,,,,,,,,,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,space,18.798,,,,,,,,,,,,,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,50,14,space,23.502,38,21.692,0,0,0,0,1,101,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,46,14,space,20.192,28,18.669,0,1,1,1,1,102,,,,,,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,35,14,space,11.445,5,9.428,,,,,,4,0,0,0,4,1,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,48,14,space,17.271,41,13.104,,,,,,80,0,1,1,80,1,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,32,14,space,8.713,52,5.304,,,,,,81,0,2,2,81,1,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,40,14,space,10.468,28,8.122,,,,,,70,0,3,3,70,1,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,45,14,space,12.632,24,10.921,,,,,,38,0,4,4,38,1,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,40,14,space,5.167,1,2.754,,,,,,13,0,5,5,13,1,,
,,,553,5ac4b010f69e940001d97645,43,female,2022-11-22_14h47.54.148,onlinegloss,2022.2.3,Win32,59.95203837,,,,,,,,,31,14,space,8.252,52,6.854,,,,,,45,0,6,6,45,1,,
