button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.386100000143017],[3.386100000143017],273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,space,1.7641,,,,,,,,,,,,,,,,,,,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,40.1,33,,,,,,,,,,,,,,,,,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,space,2.43,,,,,,,,,,,,,,,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,space,3.7536,,,,,,,,,,,,,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,33,4,space,13.1713,38,12.9454,0,0,0,0,1,101,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,31,4,space,7.2643,41,7.0541,0,1,1,1,1,102,,,,,,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,46,4,space,7.2696,21,7.0989,,,,,,46,0,0,0,46,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,44,4,space,8.2759,5,4.7548,,,,,,62,0,1,1,62,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,45,4,space,7.069,30,6.8369,,,,,,77,0,2,2,77,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,41,4,space,4.7715,25,3.9557,,,,,,55,0,3,3,55,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,32,4,space,5.438,17,5.2043,,,,,,35,0,4,4,35,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,32,4,space,4.1919,13,3.6575,,,,,,64,0,5,5,64,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,42,4,space,3.5011,17,3.2895,,,,,,61,0,6,6,61,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,48,4,space,4.8714,1,4.6882,,,,,,6,0,7,7,6,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,48,4,space,3.6552,9,3.4391,,,,,,50,0,8,8,50,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,51,4,space,5.2471,14,4.8213,,,,,,12,0,9,9,12,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,39,4,space,5.0701,7,4.8718,,,,,,63,0,10,10,63,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,27,4,space,3.5734,2,3.2233,,,,,,58,0,11,11,58,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,41,4,space,6.2898,24,5.6542,,,,,,41,0,12,12,41,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,48,4,space,3.9515,14,3.2397,,,,,,42,0,13,13,42,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,29,4,space,5.4709,52,5.2213,,,,,,74,0,14,14,74,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,43,4,space,6.2041,2,6.0266,,,,,,54,0,15,15,54,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,27,4,space,2.8235,1,2.6429,,,,,,10,0,16,16,10,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,50,4,space,2.5743,1,2.3238,,,,,,31,0,17,17,31,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,44,4,space,6.725,20,5.2211,,,,,,83,0,18,18,83,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,45,4,space,3.5904,3,3.0236,,,,,,65,0,19,19,65,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,34,4,space,3.3568,19,3.1898,,,,,,32,0,20,20,32,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,30,4,space,6.9474,15,6.7531,,,,,,69,0,21,21,69,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,41,4,space,2.5396,5,2.2413,,,,,,70,0,22,22,70,1,,
,,,273,5a847fd2aa46dd00016ba03c,33,male,2022-11-22_09h39.31.142,onlinegloss,2022.2.3,Win32,60.15399423,,,,,,,,,43,4,space,2.4565,4,2.2247,,,,,,24,0,23,23,24,1,,
