button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[32.98169999998808],[32.981799999982115],904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,space,41.2554,,,,,,,,,,,,,,,,,,,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,44.6,44.3,,,,,,,,,,,,,,,,,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,space,19.8413,,,,,,,,,,,,,,,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,space,30.2092,,,,,,,,,,,,,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,28,41,space,26.5692,51,23.7321,0,0,0,0,1,101,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,45,41,space,5.9925,44,5.2806,0,1,1,1,1,102,,,,,,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,48,41,space,4.8915,19,2.9868,,,,,,80,0,0,0,80,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,32,41,space,5.6536,11,4.5644,,,,,,7,0,1,1,7,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,48,41,space,10.784,24,9.462,,,,,,32,0,2,2,32,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,50,41,space,9.0731,21,8.2189,,,,,,48,0,3,3,48,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,27,41,space,13.5302,16,12.4733,,,,,,60,0,4,4,60,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,37,41,space,4.4148,22,3.3214,,,,,,42,0,5,5,42,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,27,41,space,6.9877,2,5.1287,,,,,,75,0,6,6,75,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,30,41,space,5.2318,9,4.296,,,,,,4,0,7,7,4,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,44,41,space,4.5822,7,4.2572,,,,,,25,0,8,8,25,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,31,41,space,3.6937,9,2.8356,,,,,,76,0,9,9,76,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,36,41,space,7.5521,30,6.0114,,,,,,14,0,10,10,14,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,42,41,space,5.7922,26,5.424,,,,,,33,0,11,11,33,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,38,41,space,4.2139,16,2.2963,,,,,,73,0,12,12,73,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,47,41,space,6.9337,42,6.0448,,,,,,21,0,13,13,21,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,52,41,space,5.1414,13,2.3189,,,,,,12,0,14,14,12,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,43,41,space,9.2536,5,8.7067,,,,,,26,0,15,15,26,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,37,41,space,6.2376,9,5.1069,,,,,,79,0,16,16,79,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,28,41,space,5.1786,43,3.3992,,,,,,44,0,17,17,44,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,42,41,space,4.8283,42,3.5202,,,,,,59,0,18,18,59,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,32,41,space,8.9863,11,7.8088,,,,,,68,0,19,19,68,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,38,41,space,6.949,27,4.7267,,,,,,54,0,20,20,54,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,43,41,space,5.8049,29,3.6315,,,,,,78,0,21,21,78,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,44,41,space,3.6945,48,2.7591,,,,,,74,0,22,22,74,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,47,41,space,5.736,9,4.8216,,,,,,51,0,23,23,51,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,39,41,space,4.9151,10,3.9626,,,,,,10,0,24,24,10,1,,
,,,904,61017941304cf7ac38c2e110,34,male,2022-11-22_18h19.07.331,onlinegloss,2022.2.3,MacIntel,59.97361161,,,,,,,,,31,41,space,14.6658,34,12.5825,,,,,,29,0,25,25,29,1,,
