button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[18.53490000000037],[18.53490000000037],96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,space,10.317,,,,,,,,,,,,,,,,,,,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,43.2,41.7,,,,,,,,,,,,,,,,,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,space,11.4966,,,,,,,,,,,,,,,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,space,35.3041,,,,,,,,,,,,,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,48,43,space,10.4061,37,8.0021,0,0,0,0,1,101,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,38,43,space,13.2594,21,12.5014,0,1,1,1,1,102,,,,,,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,41,43,space,4.4839,39,3.8277,,,,,,74,0,0,0,74,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,28,43,space,5.874,28,4.7314,,,,,,31,0,1,1,31,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,49,43,space,4.5731,1,3.5023,,,,,,37,0,2,2,37,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,44,43,space,4.6376,11,2.9629,,,,,,58,0,3,3,58,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,41,43,space,5.9863,3,4.8969,,,,,,53,0,4,4,53,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,48,43,space,5.7758,13,2.8295,,,,,,76,0,5,5,76,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,45,43,space,8.7722,33,7.6303,,,,,,15,0,6,6,15,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,41,43,space,6.3409,29,3.0453,,,,,,22,0,7,7,22,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,43,43,space,3.1516,1,2.5795,,,,,,42,0,8,8,42,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,27,43,space,4.7943,11,3.6344,,,,,,20,0,9,9,20,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,33,43,space,6.5237,25,5.0787,,,,,,29,0,10,10,29,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,41,43,space,6.4944,16,5.0492,,,,,,83,0,11,11,83,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,34,43,space,8.3404,6,7.7137,,,,,,24,0,12,12,24,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,27,43,space,3.2572,11,2.2792,,,,,,68,0,13,13,68,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,49,43,space,4.041,18,3.0837,,,,,,19,0,14,14,19,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,45,43,space,6.6697,37,5.4627,,,,,,38,0,15,15,38,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,36,43,space,4.992,7,3.8628,,,,,,10,0,16,16,10,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,50,43,space,5.1533,11,4.5971,,,,,,7,0,17,17,7,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,44,43,space,2.1216,1,1.7669,,,,,,2,0,18,18,2,1,,
,,,96,5b27b81293707800011eabdd,43,female,2022-11-21_12h55.01.178,onlinegloss,2022.2.3,MacIntel,59.99520038,,,,,,,,,47,43,space,5.4192,2,2.9299,,,,,,18,0,19,19,18,1,,
