button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.8961999999880845],[6.8961999999880845],623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,space,24.988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,45,44.4,,,,,,,,,,,,,,,,,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,space,7.3369,,,,,,,,,,,,,,,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,space,146.9087,,,,,,,,,,,,,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,31,30,space,9.166,6,8.1389,0,0,0,0,1,101,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,34,30,space,5.7563,10,5.3421,0,1,1,1,1,102,,,,,,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,33,30,space,6.0376,1,5.4602,,,,,,70,0,0,0,70,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,52,30,space,7.8844,15,7.5845,,,,,,16,0,1,1,16,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,46,30,space,6.7448,14,5.4029,,,,,,9,0,2,2,9,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,40,30,space,8.0242,1,6.5838,,,,,,79,0,3,3,79,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,43,30,space,6.049,6,5.8648,,,,,,10,0,4,4,10,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,40,30,space,7.5413,24,6.0373,,,,,,22,0,5,5,22,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,47,30,space,9.5549,5,9.167,,,,,,59,0,6,6,59,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,43,30,space,5.1894,38,4.7662,,,,,,12,0,7,7,12,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,43,30,space,4.8978,15,4.6475,,,,,,68,0,8,8,68,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,32,30,space,4.4854,19,4.2219,,,,,,41,0,9,9,41,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,44,30,space,7.5322,21,7.2692,,,,,,65,0,10,10,65,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,39,30,space,10.0956,7,2.8459,,,,,,3,0,11,11,3,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,36,30,space,10.4678,37,6.7854,,,,,,77,0,12,12,77,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,50,30,space,7.9026,5,7.5862,,,,,,34,0,13,13,34,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,34,30,space,8.6212,35,5.1364,,,,,,50,0,14,14,50,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,31,30,space,8.4956,22,7.2189,,,,,,21,0,15,15,21,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,51,30,space,11.1837,14,6.0746,,,,,,53,0,16,16,53,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,41,30,space,4.833,29,4.5422,,,,,,71,0,17,17,71,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,41,30,space,6.1302,18,5.7856,,,,,,30,0,18,18,30,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,32,30,space,7.7136,42,5.0338,,,,,,69,0,19,19,69,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,32,30,space,12.1736,32,6.946,,,,,,26,0,20,20,26,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,37,30,space,9.7471,18,5.5518,,,,,,5,0,21,21,5,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,47,30,space,6.496,11,6.2519,,,,,,1,0,22,22,1,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,33,30,space,6.5808,6,3.1866,,,,,,64,0,23,23,64,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,52,30,space,7.4556,17,6.5773,,,,,,29,0,24,24,29,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,49,30,space,5.31,24,4.9555,,,,,,31,0,25,25,31,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,36,30,space,10.3625,18,7.0191,,,,,,39,0,26,26,39,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,38,30,space,13.4681,19,4.0257,,,,,,15,0,27,27,15,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,38,30,space,8.2859,43,5.4682,,,,,,20,0,28,28,20,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,30,30,space,5.2085,41,4.8369,,,,,,6,0,29,29,6,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,43,30,space,11.3446,40,10.556,,,,,,72,0,30,30,72,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,45,30,space,7.662,14,6.9362,,,,,,46,0,31,31,46,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,35,30,space,5.829,24,5.54,,,,,,82,0,32,32,82,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,37,30,space,4.1496,35,3.8689,,,,,,78,0,33,33,78,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,47,30,space,5.2034,14,4.9627,,,,,,32,0,34,34,32,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,28,30,space,4.3731,34,4.1669,,,,,,14,0,35,35,14,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,51,30,space,4.7507,25,3.8986,,,,,,42,0,36,36,42,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,48,30,space,4.762,16,4.5746,,,,,,49,0,37,37,49,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,27,30,space,3.8994,28,3.6854,,,,,,58,0,38,38,58,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,30,30,space,3.9137,24,3.6371,,,,,,35,0,39,39,35,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,45,30,space,5.3203,18,3.8513,,,,,,54,0,40,40,54,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,31,30,space,6.4061,11,6.1997,,,,,,27,0,41,41,27,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,27,30,space,4.6069,9,4.396,,,,,,75,0,42,42,75,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,31,30,space,4.755,24,4.4635,,,,,,81,0,43,43,81,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,31,30,space,4.4004,30,4.1614,,,,,,57,0,44,44,57,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,41,30,space,7.1564,14,6.9382,,,,,,47,0,45,45,47,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,42,30,space,4.0726,20,3.8573,,,,,,8,0,46,46,8,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,51,30,space,4.8705,10,4.6714,,,,,,43,0,47,47,43,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,42,30,space,5.408,37,5.0891,,,,,,19,0,48,48,19,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,35,30,space,3.9271,27,3.7198,,,,,,4,0,49,49,4,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,38,30,space,4.8658,19,4.6856,,,,,,13,0,50,50,13,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,32,30,space,5.8745,46,5.5001,,,,,,33,0,51,51,33,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,51,30,space,4.6254,5,4.2123,,,,,,25,0,52,52,25,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,30,30,space,5.6562,17,5.4479,,,,,,61,0,53,53,61,1,,
,,,623,5a6e4286e6cc4a0001b6d281,34,male,2022-11-22_15h02.56.411,onlinegloss,2022.2.3,Win32,60.07088364,,,,,,,,,34,30,space,4.6474,36,4.3099,,,,,,28,0,54,54,28,1,,
