button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.233600000023843],[5.233600000023843],411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,space,4.2365,,,,,,,,,,,,,,,,,,,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,50.2,50.3,,,,,,,,,,,,,,,,,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,space,8.2842,,,,,,,,,,,,,,,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,space,16.1227,,,,,,,,,,,,,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,35,34,space,12.4225,46,10.2897,0,0,0,0,1,101,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,44,34,space,13.2275,27,12.8799,0,1,1,1,1,102,,,,,,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,30,34,space,8.3249,24,6.2582,,,,,,29,0,0,0,29,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,38,34,space,8.4357,36,8.2671,,,,,,12,0,1,1,12,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,49,34,space,13.833,32,13.5486,,,,,,53,0,2,2,53,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,36,34,space,7.666,9,6.9318,,,,,,75,0,3,3,75,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,42,34,space,9.0331,8,8.6821,,,,,,16,0,4,4,16,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,41,34,space,4.4653,29,4.1648,,,,,,59,0,5,5,59,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,40,34,space,8.433,16,8.1812,,,,,,47,0,6,6,47,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,31,34,space,7.3674,10,6.1644,,,,,,2,0,7,7,2,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,30,34,space,8.0334,35,7.6802,,,,,,3,0,8,8,3,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,38,34,space,5.983,27,5.4643,,,,,,17,0,9,9,17,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,32,34,space,5.4491,4,4.5145,,,,,,30,0,10,10,30,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,38,34,space,6.4828,34,6.2485,,,,,,78,0,11,11,78,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,47,34,space,3.9159,42,3.4987,,,,,,68,0,12,12,68,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,38,34,space,5.7158,40,5.4321,,,,,,67,0,13,13,67,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,37,34,space,7.716,26,6.9323,,,,,,7,0,14,14,7,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,34,34,space,5.3322,11,4.8484,,,,,,8,0,15,15,8,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,46,34,space,2.9491,2,2.4654,,,,,,24,0,16,16,24,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,47,34,space,7.0495,6,6.799,,,,,,18,0,17,17,18,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,40,34,space,5.016,38,4.7153,,,,,,72,0,18,18,72,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,50,34,space,7.9661,46,7.6986,,,,,,35,0,19,19,35,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,34,34,space,6.4325,44,6.1834,,,,,,9,0,20,20,9,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,37,34,space,6.1825,23,5.7324,,,,,,57,0,21,21,57,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,38,34,space,5.516,33,5.3491,,,,,,10,0,22,22,10,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,42,34,space,6.8995,7,6.1162,,,,,,56,0,23,23,56,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,38,34,space,3.7992,49,3.4491,,,,,,84,0,24,24,84,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,27,34,space,4.9676,19,3.5989,,,,,,11,0,25,25,11,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,47,34,space,6.965,26,6.6305,,,,,,62,0,26,26,62,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,41,34,space,6.368,32,2.3833,,,,,,42,0,27,27,42,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,38,34,space,122.4474,7,121.4795,,,,,,5,0,28,28,5,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,50,34,space,5.5824,39,5.1818,,,,,,55,0,29,29,55,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,35,34,space,4.1159,50,3.849,,,,,,70,0,30,30,70,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,46,34,space,2.6839,3,2.0989,,,,,,31,0,31,31,31,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,51,34,space,4.3172,38,2.7313,,,,,,20,0,32,32,20,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,43,34,space,5.299,28,4.8469,,,,,,21,0,33,33,21,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,30,34,space,6.416,15,5.7487,,,,,,36,0,34,34,36,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,28,34,space,5.316,49,5.0151,,,,,,74,0,35,35,74,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,29,34,space,4.8491,19,4.5149,,,,,,43,0,36,36,43,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,46,34,space,5.3672,13,5.0323,,,,,,48,0,37,37,48,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,32,34,space,2.9494,52,2.4812,,,,,,58,0,38,38,58,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,34,34,space,3.2826,37,2.8817,,,,,,19,0,39,39,19,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,27,34,space,7.5992,21,6.8325,,,,,,80,0,40,40,80,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,46,34,space,3.2659,52,2.6484,,,,,,1,0,41,41,1,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,31,34,space,5.5326,23,5.2818,,,,,,23,0,42,42,23,1,,
,,,411,566d5997d408ea00051a2a86,38,male,2022-11-22_10h45.34.323,onlinegloss,2022.2.3,Win32,61.36475209,,,,,,,,,50,34,space,3.2161,32,2.4658,,,,,,60,0,43,43,60,1,,
