button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.1780000000000008],[1.1780000000000008],607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,space,2.589,,,,,,,,,,,,,,,,,,,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,60,40,,,,,,,,,,,,,,,,,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,space,171.103,,,,,,,,,,,,,,,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,space,18.307,,,,,,,,,,,,,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,40,14,space,24.801,28,24.622,0,0,0,0,1,101,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,50,14,space,7.883,9,7.776,0,1,1,1,1,102,,,,,,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,30,14,space,4.512,11,4.41,,,,,,10,0,0,0,10,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,36,14,space,6.984,19,6.766,,,,,,34,0,1,1,34,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,51,14,space,7.246,3,7.166,,,,,,79,0,2,2,79,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,30,14,space,3.593,,,,,,,,15,0,3,3,15,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,41,14,space,4.525,14,4.493,,,,,,27,0,4,4,27,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,41,14,space,3.341,10,3.319,,,,,,9,0,5,5,9,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,48,14,space,5.253,21,5.078,,,,,,60,0,6,6,60,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,32,14,space,15.164,6,14.809,,,,,,31,0,7,7,31,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,51,14,space,7.853,8,7.842,,,,,,22,0,8,8,22,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,38,14,space,5.341,22,5.105,,,,,,30,0,9,9,30,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,49,14,space,14.578,23,13.837,,,,,,72,0,10,10,72,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,26,14,space,9.413,11,9.037,,,,,,76,0,11,11,76,1,,
,,,607,62d6eab7b5c3b5aa68d38fc6,24,male,2022-11-22_14h53.17.145,onlinegloss,2022.2.3,MacIntel,58.82352941,,,,,,,,,46,14,space,5.692,11,5.69,,,,,,26,0,12,12,26,1,,
