button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.771000000000001],[2.771000000000001],725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,space,10.97,,,,,,,,,,,,,,,,,,,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,45.4,44.6,,,,,,,,,,,,,,,,,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,space,9.988,,,,,,,,,,,,,,,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,space,4.302,,,,,,,,,,,,,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,27,24,space,9.225,30,5.887,0,0,0,0,1,101,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,51,24,space,6.676,19,6.212,0,1,1,1,1,102,,,,,,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,44,24,space,4.782,10,3.415,,,,,,16,0,0,0,16,1,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,34,24,space,5.307,14,3.768,,,,,,25,0,1,1,25,1,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,52,24,space,7.078,10,6.173,,,,,,35,0,2,2,35,1,,
,,,725,5f2172f2f488e708cf9555e4,32,female,2022-11-22_16h59.02.124,onlinegloss,2022.2.3,MacIntel,63.37135615,,,,,,,,,29,24,space,2.971,16,2.038,,,,,,48,0,3,3,48,1,,
