button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[14.279999999999994],[14.279999999999994],464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,space,6.8799,,,,,,,,,,,,,,,,,,,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,33.3,34,,,,,,,,,,,,,,,,,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,space,10.5935,,,,,,,,,,,,,,,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,space,32.1972,,,,,,,,,,,,,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,31,33,space,11.9623,52,8.8433,0,0,0,0,1,101,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,45,33,space,9.5575,28,8.4407,0,1,1,1,1,102,,,,,,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,40,33,space,7.6784,15,6.5348,,,,,,48,0,0,0,48,1,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,42,33,space,9.0799,11,7.9262,,,,,,61,0,1,1,61,1,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,51,33,space,5.9364,1,4.9411,,,,,,58,0,2,2,58,1,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,44,33,space,8.9513,34,8.5526,,,,,,57,0,3,3,57,1,,
,,,464,5d8154a847a45600189e8f35,55,female ,2022-11-22_14h39.13.545,onlinegloss,2022.2.3,Win32,59.83008257,,,,,,,,,39,33,space,6.3102,19,5.9703,,,,,,24,0,4,4,24,1,,
