button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.2241000000238422],[3.2241000000238422],1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,space,8.3348,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,31.8,32.9,,,,,,,,,,,,,,,,,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,space,9.3442,,,,,,,,,,,,,,,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,space,16.2511,,,,,,,,,,,,,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,51,2,space,12.9923,40,11.9582,0,0,0,0,1,101,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,31,2,space,9.9457,49,6.2101,0,1,1,1,1,102,,,,,,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,30,2,space,7.6714,26,6.5601,,,,,,70,0,0,0,70,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,26,2,space,9.0323,11,8.3763,,,,,,66,0,1,1,66,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,39,2,space,7.0452,27,5.8327,,,,,,1,0,2,2,1,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,45,2,space,4.5079,2,3.6119,,,,,,16,0,3,3,16,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,30,2,space,6.7952,8,6.2008,,,,,,58,0,4,4,58,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,39,2,space,3.7914,1,2.6018,,,,,,52,0,5,5,52,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,34,2,space,6.9679,11,5.7317,,,,,,80,0,6,6,80,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,33,2,space,6.5747,1,6.1527,,,,,,27,0,7,7,27,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,43,2,space,5.5397,12,5.0066,,,,,,72,0,8,8,72,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,31,2,space,3.2494,1,2.0509,,,,,,60,0,9,9,60,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,46,2,space,6.3385,9,5.6295,,,,,,12,0,10,10,12,1,,
,,,1058,637d85be238af853da68922d,56,female ,2022-11-23_09h00.40.210,onlinegloss,2022.2.3,Win32,143.3691756,,,,,,,,,30,2,space,12.4015,15,11.1841,,,,,,41,0,11,11,41,1,,
