button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.8298000000002794],[1.8298000000002794],1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,space,5.8925,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,49.3,47.7,,,,,,,,,,,,,,,,,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,space,15.0008,,,,,,,,,,,,,,,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,space,2.4668,,,,,,,,,,,,,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,31,13,space,10.1803,32,8.3433,0,0,0,0,1,101,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,51,13,space,7.5364,38,7.0363,0,1,1,1,1,102,,,,,,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,29,13,space,2.7821,1,2.1724,,,,,,23,0,0,0,23,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,33,13,space,3.5091,1,2.8074,,,,,,75,0,1,1,75,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,34,13,space,2.5402,1,2.099,,,,,,14,0,2,2,14,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,34,13,space,2.5351,2,2.0987,,,,,,79,0,3,3,79,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,45,13,space,5.939,11,5.1617,,,,,,53,0,4,4,53,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,49,13,space,4.0192,11,3.6535,,,,,,22,0,5,5,22,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,39,13,space,4.178,26,3.7445,,,,,,81,0,6,6,81,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,49,13,space,3.4783,15,2.9101,,,,,,45,0,7,7,45,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,40,13,space,4.6619,25,4.2862,,,,,,61,0,8,8,61,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,41,13,space,4.1573,37,3.6531,,,,,,77,0,9,9,77,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,33,13,space,6.1572,26,5.7798,,,,,,63,0,10,10,63,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,48,13,space,4.2435,16,3.8906,,,,,,37,0,11,11,37,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,38,13,space,2.0248,1,1.739,,,,,,55,0,12,12,55,1,,
,,,1130,5c57078f575dcf0001154ca4,41,male,2022-11-23_16h27.07.983,onlinegloss,2022.2.3,MacIntel,120.0048002,,,,,,,,,36,13,space,3.8887,14,3.5533,,,,,,20,0,13,13,20,1,,
