button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.280199999988078],[8.28030000001192],1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,space,5.7906,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,50.3,49.7,,,,,,,,,,,,,,,,,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,space,57.6275,,,,,,,,,,,,,,,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,space,26.2326,,,,,,,,,,,,,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,42,53,space,11.0597,45,10.0008,0,0,0,0,1,101,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,46,53,space,9.4383,35,8.5708,0,1,1,1,1,102,,,,,,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,32,53,space,12.5951,8,11.636,,,,,,21,0,0,0,21,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,37,53,space,5.6827,29,4.8742,,,,,,83,0,1,1,83,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,36,53,space,6.4293,47,5.559,,,,,,32,0,2,2,32,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,43,53,space,5.7579,17,5.1256,,,,,,38,0,3,3,38,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,35,53,space,11.0911,12,10.2756,,,,,,73,0,4,4,73,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,27,53,space,3.5629,1,2.7741,,,,,,20,0,5,5,20,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,41,53,space,5.7976,50,4.7878,,,,,,84,0,6,6,84,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,37,53,space,8.0415,10,5.0557,,,,,,14,0,7,7,14,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,33,53,space,5.9346,42,5.2079,,,,,,74,0,8,8,74,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,45,53,space,7.564,13,6.0744,,,,,,80,0,9,9,80,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,39,53,space,4.778,18,4.226,,,,,,78,0,10,10,78,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,28,53,space,4.6954,4,3.7548,,,,,,52,0,11,11,52,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,31,53,space,6.7008,7,6.047,,,,,,24,0,12,12,24,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,32,53,space,4.4933,10,2.9232,,,,,,37,0,13,13,37,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,40,53,space,3.9272,1,3.1872,,,,,,43,0,14,14,43,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,32,53,space,2.9354,1,1.9467,,,,,,47,0,15,15,47,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,51,53,space,4.5872,1,3.9235,,,,,,26,0,16,16,26,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,27,53,space,2.2145,1,1.7251,,,,,,4,0,17,17,4,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,35,53,space,4.9452,14,3.5251,,,,,,68,0,18,18,68,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,48,53,space,5.7793,45,4.039,,,,,,18,0,19,19,18,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,34,53,space,2.7282,1,1.6757,,,,,,44,0,20,20,44,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,45,53,space,3.1433,40,1.6056,,,,,,70,0,21,21,70,1,,
,,,1182,57e04ffb8e00270001b43800,39,female,2022-11-23_19h17.10.602,onlinegloss,2022.2.3,Win32,60.47777442,,,,,,,,,28,53,space,3.6219,5,1.9922,,,,,,36,0,22,22,36,1,,
