button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.829100000000093],[5.829100000000093],262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,space,5.6798,,,,,,,,,,,,,,,,,,,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,36.3,35.2,,,,,,,,,,,,,,,,,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,space,12.9422,,,,,,,,,,,,,,,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,space,19.0182,,,,,,,,,,,,,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,31,47,space,20.4405,42,19.9844,0,0,0,0,1,101,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,48,47,space,5.0199,15,4.7395,0,1,1,1,1,102,,,,,,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,33,47,space,4.3986,1,4.0564,,,,,,44,0,0,0,44,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,49,47,space,4.3411,38,4.1407,,,,,,72,0,1,1,72,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,29,47,space,8.2689,23,7.9626,,,,,,66,0,2,2,66,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,41,47,space,9.9062,29,9.5954,,,,,,80,0,3,3,80,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,48,47,space,4.7821,10,4.5268,,,,,,40,0,4,4,40,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,27,47,space,6.0975,4,5.8848,,,,,,16,0,5,5,16,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,40,47,space,4.4174,28,4.2569,,,,,,82,0,6,6,82,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,35,47,space,6.202,34,6.0594,,,,,,58,0,7,7,58,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,48,47,space,3.0914,45,2.8731,,,,,,33,0,8,8,33,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,40,47,space,3.6939,5,3.4071,,,,,,61,0,9,9,61,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,47,47,space,4.3191,39,4.165,,,,,,83,0,10,10,83,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,36,47,space,3.9937,28,3.8105,,,,,,42,0,11,11,42,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,42,47,space,3.5275,1,3.2741,,,,,,13,0,12,12,13,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,34,47,space,3.1085,43,2.6752,,,,,,74,0,13,13,74,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,31,47,space,2.2492,1,2.0387,,,,,,25,0,14,14,25,1,,
,,,262,576a9595f48c3b00016738e4,e.g. 3043,male,2022-11-22_09h32.50.566,onlinegloss,2022.2.3,Win32,59.85156811,,,,,,,,,52,47,space,2.6249,17,2.4742,,,,,,64,0,15,15,64,1,,
