button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[14.929799999999986],[14.929999999999993],120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,space,8.951,,,,,,,,,,,,,,,,,,,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,43.4,42.8,,,,,,,,,,,,,,,,,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,space,26.9669,,,,,,,,,,,,,,,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,space,15.2612,,,,,,,,,,,,,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,29,13,space,21.2567,47,19.4546,0,0,0,0,1,101,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,41,13,space,14.6021,22,12.0075,0,1,1,1,1,102,,,,,,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,52,13,space,18.492,14,17.5055,,,,,,44,0,0,0,44,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,34,13,space,14.0547,6,13.0318,,,,,,68,0,1,1,68,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,36,13,space,11.4538,6,10.7864,,,,,,22,0,2,2,22,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,45,13,space,17.6604,36,17.0848,,,,,,42,0,3,3,42,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,29,13,space,7.9879,6,6.7021,,,,,,15,0,4,4,15,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,48,13,space,6.5863,1,5.6859,,,,,,49,0,5,5,49,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,29,13,space,79.3958,34,78.2847,,,,,,32,0,6,6,32,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,30,13,space,6.8771,1,6.6104,,,,,,12,0,7,7,12,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,39,13,space,8.1419,21,7.8692,,,,,,6,0,8,8,6,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,49,13,space,6.8097,9,5.8516,,,,,,66,0,9,9,66,1,,
,,,120,6005cc2c7b530e88cc5c1fcb,32,male,2022-11-21_13h05.03.971,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,27,13,space,5.6532,1,4.2766,,,,,,75,0,10,10,75,1,,
