button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.502699999809266],[7.502899999856943],1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,space,9.5643,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,41.6,38,,,,,,,,,,,,,,,,,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,space,22.8287,,,,,,,,,,,,,,,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,space,82.0835,,,,,,,,,,,,,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,38,8,space,26.2466,35,23.5742,0,0,0,0,1,101,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,36,8,space,9.013,37,8.5423,0,1,1,1,1,102,,,,,,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,44,8,space,13.0161,8,10.206,,,,,,33,0,0,0,33,1,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,32,8,space,9.9306,3,7.5267,,,,,,70,0,1,1,70,1,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,48,8,space,7.0428,4,6.0847,,,,,,20,0,2,2,20,1,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,46,8,space,5.6489,3,5.1045,,,,,,65,0,3,3,65,1,,
,,,1119,5d31dc6e42678e001a0bdedd,33,female,2022-11-23_16h16.53.273,onlinegloss,2022.2.3,Win32,59.83366242,,,,,,,,,40,8,space,3.6206,4,2.2128,,,,,,3,0,4,4,3,1,,
