button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.618299999952317],[3.618299999952317],924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,space,9.8289,,,,,,,,,,,,,,,,,,,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,36.2,29.7,,,,,,,,,,,,,,,,,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,space,7.5013,,,,,,,,,,,,,,,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,space,4.5606,,,,,,,,,,,,,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,31,7,space,10.0133,43,8.3077,0,0,0,0,1,101,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,43,7,space,7.5542,48,7.3465,0,1,1,1,1,102,,,,,,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,49,7,space,0.7913,,,,,,,,77,0,0,0,77,1,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,33,7,space,3.0652,49,2.5221,,,,,,8,0,1,1,8,1,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,27,7,space,2.0145,26,1.7641,,,,,,63,0,2,2,63,1,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,49,7,space,1.8907,36,1.6968,,,,,,26,0,3,3,26,1,,
,,,924,56462fb1d01e6b0006727cbe,27,Male,2022-11-22_17h18.37.884,onlinegloss,2022.2.3,Win32,59.93766483,,,,,,,,,39,7,space,2.0579,1,1.7636,,,,,,18,0,4,4,18,1,,
