button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.058400000035764],[10.058499999999999],73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,space,4.6671,,,,,,,,,,,,,,,,,,,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,41.1,40,,,,,,,,,,,,,,,,,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,space,9.6758,,,,,,,,,,,,,,,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,space,4.996,,,,,,,,,,,,,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,,,38,20,space,13.4935,48,12.1099,0,0,0,0,1,101,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,,,48,20,space,7.123,35,5.8194,0,1,1,1,1,102,,,,,,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,,,38,20,space,5.8276,9,4.4388,,,,,,34,0,0,0,34,1,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,,,41,20,space,6.1406,11,5.0547,,,,,,68,0,1,1,68,1,,
,,,73,5f0848afabfd7d024c2eb3ad,46,female,2022-11-21_12h49.40.093,onlinegloss,2022.2.3,Win32,60.72014087,,,,,,,,,46,20,space,7.6711,25,6.6553,,,,,,1,0,2,2,1,1,,
