button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.446200000002982],[6.44630000000447],215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,space,6.6077,,,,,,,,,,,,,,,,,,,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,43.2,40.6,,,,,,,,,,,,,,,,,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,space,8.6402,,,,,,,,,,,,,,,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,space,177.2369,,,,,,,,,,,,,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,28,54,space,10.1116,24,9.2117,0,0,0,0,1,101,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,43,54,space,6.4656,34,6.1641,0,1,1,1,1,102,,,,,,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,46,54,space,9.4712,5,8.8195,,,,,,45,0,0,0,45,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,32,54,space,8.2276,11,8.0471,,,,,,64,0,1,1,64,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,29,54,space,6.6535,52,6.1317,,,,,,12,0,2,2,12,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,32,54,space,5.363,4,4.7803,,,,,,24,0,3,3,24,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,32,54,space,8.4118,5,8.1313,,,,,,19,0,4,4,19,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,36,54,space,2.7729,2,1.5946,,,,,,65,0,5,5,65,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,40,54,space,2.7803,4,1.9047,,,,,,27,0,6,6,27,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,27,54,space,6.0841,8,5.9315,,,,,,1,0,7,7,1,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,39,54,space,4.2512,21,4.0284,,,,,,68,0,8,8,68,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,29,54,space,4.7861,5,4.6148,,,,,,50,0,9,9,50,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,47,54,space,3.9666,1,3.8114,,,,,,5,0,10,10,5,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,45,54,space,4.0969,8,3.9316,,,,,,57,0,11,11,57,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,42,54,space,7.3112,1,6.9131,,,,,,0,0,12,12,0,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,46,54,space,3.3152,2,2.5121,,,,,,6,0,13,13,6,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,43,54,space,4.8854,14,4.7231,,,,,,9,0,14,14,9,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,41,54,space,5.1028,27,4.9801,,,,,,54,0,15,15,54,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,44,54,space,5.5755,11,5.3441,,,,,,20,0,16,16,20,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,34,54,space,4.4812,4,4.1631,,,,,,56,0,17,17,56,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,31,54,space,2.4686,4,1.2987,,,,,,38,0,18,18,38,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,32,54,space,5.6875,11,5.4645,,,,,,67,0,19,19,67,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,33,54,space,5.5182,33,5.3135,,,,,,74,0,20,20,74,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,28,54,space,3.881,43,3.6947,,,,,,53,0,21,21,53,1,,
,,,215,62ed1d676bc4d1eaeae21c1b,47,female,2022-11-22_09h29.38.949,onlinegloss,2022.2.3,Win32,60.41565974,,,,,,,,,44,54,space,3.9348,7,3.8093,,,,,,4,0,22,22,4,1,,
