button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.253999999999996],[3.253999999999996],524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,space,3.729,,,,,,,,,,,,,,,,,,,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,40.3,40,,,,,,,,,,,,,,,,,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,10.235,,,,,,,,,,,,,,,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,2.405,,,,,,,,,,,,,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,39,space,7.426,25,7.193,0,0,0,0,1,101,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,36,39,space,8.367,38,8.056,0,1,1,1,1,102,,,,,,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,39,space,3.794,7,3.428,,,,,,68,0,0,0,68,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,39,space,4.617,28,4.173,,,,,,54,0,1,1,54,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,39,space,2.433,1,2.133,,,,,,8,0,2,2,8,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,39,space,2.811,18,2.589,,,,,,46,0,3,3,46,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,39,space,4.542,22,4.439,,,,,,36,0,4,4,36,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,39,space,4.176,37,4.011,,,,,,74,0,5,5,74,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,38,39,space,2.974,1,2.873,,,,,,75,0,6,6,75,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,39,space,3.081,6,2.72,,,,,,16,0,7,7,16,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,39,space,3.5,15,3.426,,,,,,27,0,8,8,27,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,39,space,2.543,7,2.387,,,,,,58,0,9,9,58,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,39,space,4.673,36,4.471,,,,,,57,0,10,10,57,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,39,space,2.278,24,2.1,,,,,,76,0,11,11,76,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,39,space,2.517,32,2.298,,,,,,3,0,12,12,3,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,31,39,space,2.524,5,2.366,,,,,,67,0,13,13,67,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,39,space,1.934,7,1.819,,,,,,39,0,14,14,39,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,39,space,2.355,7,2.257,,,,,,14,0,15,15,14,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,39,space,2.206,8,2.114,,,,,,38,0,16,16,38,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,39,space,2.336,1,2.209,,,,,,6,0,17,17,6,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,38,39,space,2.919,9,2.642,,,,,,35,0,18,18,35,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,39,space,1.911,16,1.817,,,,,,17,0,19,19,17,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,39,space,1.748,2,1.559,,,,,,4,0,20,20,4,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,39,space,2.29,2,2.263,,,,,,42,0,21,21,42,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,39,space,1.72,11,1.621,,,,,,29,0,22,22,29,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,39,space,1.702,22,1.538,,,,,,80,0,23,23,80,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,31,39,space,1.467,1,1.337,,,,,,56,0,24,24,56,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,39,space,2.557,35,2.444,,,,,,72,0,25,25,72,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,39,space,2.871,25,2.742,,,,,,41,0,26,26,41,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,39,space,2.816,25,2.707,,,,,,48,0,27,27,48,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,39,space,2.016,5,1.9,,,,,,32,0,28,28,32,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,39,space,2.781,26,2.655,,,,,,37,0,29,29,37,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,39,space,1.751,28,1.646,,,,,,31,0,30,30,31,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,39,space,1.873,39,1.666,,,,,,77,0,31,31,77,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,39,space,1.697,8,1.602,,,,,,28,0,32,32,28,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,39,space,4.157,1,2.79,,,,,,0,0,33,33,0,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,40,39,space,2.799,8,2.632,,,,,,73,0,34,34,73,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,39,space,1.962,39,1.871,,,,,,78,0,35,35,78,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,39,space,2.316,35,1.845,,,,,,71,0,36,36,71,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,39,space,1.689,3,1.535,,,,,,79,0,37,37,79,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,39,space,1.945,8,1.785,,,,,,61,0,38,38,61,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,39,space,1.695,12,1.599,,,,,,30,0,39,39,30,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,39,space,1.525,20,1.382,,,,,,10,0,40,40,10,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,39,space,2.11,39,2.024,,,,,,81,0,41,41,81,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,38,39,space,1.793,31,1.689,,,,,,69,0,42,42,69,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,39,space,1.448,1,1.367,,,,,,7,0,43,43,7,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,39,space,1.896,6,1.451,,,,,,5,0,44,44,5,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,39,space,1.44,9,1.383,,,,,,15,0,45,45,15,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,39,space,2.051,22,1.635,,,,,,22,0,46,46,22,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,39,space,1.615,29,1.464,,,,,,52,0,47,47,52,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,39,space,1.795,5,1.744,,,,,,12,0,48,48,12,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,38,39,space,1.167,1,1.093,,,,,,51,0,49,49,51,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,39,space,2.018,,,,,,,,63,0,50,50,63,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,40,39,space,2.216,8,1.863,,,,,,24,0,51,51,24,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,39,space,2.44,13,2.385,,,,,,82,0,52,52,82,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,31,39,space,3.034,3,1.968,,,,,,55,0,53,53,55,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,39,space,1.776,21,1.621,,,,,,1,0,54,54,1,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,52,39,space,1.73,17,1.411,,,,,,65,0,55,55,65,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,52,39,space,2.168,34,1.936,,,,,,66,0,56,56,66,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,39,space,1.52,31,1.252,,,,,,83,0,57,57,83,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,39,space,2.093,35,1.918,,,,,,26,0,58,58,26,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,39,space,1.537,35,1.331,,,,,,9,0,59,59,9,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,39,space,1.993,28,1.691,,,,,,53,0,60,60,53,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,39,space,2.107,5,1.902,,,,,,70,0,61,61,70,1,,
,,,524,55ef3a8eb9401300137f3fbe,34,female,2022-11-22_14h44.47.711,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,39,space,2.765,47,2.434,,,,,,43,0,62,62,43,1,,
