button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.492099999994039],[7.492199999988081],109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,space,4.73,,,,,,,,,,,,,,,,,,,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,50.3,45.4,,,,,,,,,,,,,,,,,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,space,12.0481,,,,,,,,,,,,,,,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,space,8.3979,,,,,,,,,,,,,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,38,2,space,11.0525,15,9.8572,0,0,0,0,1,101,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,33,2,space,21.6043,36,20.4141,0,1,1,1,1,102,,,,,,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,48,2,space,8.7057,15,6.2482,,,,,,1,0,0,0,1,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,28,2,space,6.0273,2,5.748,,,,,,42,0,1,1,42,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,28,2,space,3.8106,1,3.5506,,,,,,79,0,2,2,79,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,45,2,space,3.8695,3,3.3192,,,,,,46,0,3,3,46,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,48,2,space,7.7992,13,6.8282,,,,,,66,0,4,4,66,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,31,2,space,5.5578,6,4.7738,,,,,,16,0,5,5,16,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,31,2,space,2.5547,1,2.3246,,,,,,17,0,6,6,17,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,44,2,space,3.2238,1,3.0792,,,,,,75,0,7,7,75,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,29,2,space,6.8132,11,4.3929,,,,,,72,0,8,8,72,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,44,2,space,6.1669,22,5.1891,,,,,,3,0,9,9,3,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,27,2,space,3.4109,16,3.0417,,,,,,35,0,10,10,35,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,45,2,space,6.5623,31,5.6203,,,,,,81,0,11,11,81,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,38,2,space,4.1175,35,3.9955,,,,,,18,0,12,12,18,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,40,2,space,7.4721,4,7.2217,,,,,,48,0,13,13,48,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,28,2,space,2.612,1,2.0779,,,,,,20,0,14,14,20,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,39,2,space,3.6015,1,3.4591,,,,,,9,0,15,15,9,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,33,2,space,4.4353,13,3.4877,,,,,,41,0,16,16,41,1,,
,,,109,5fea2e6613597c51a166f24d,55,male,2022-11-21_13h00.57.617,onlinegloss,2022.2.3,Win32,10.00160026,,,,,,,,,52,2,space,3.2739,16,2.7817,,,,,,83,0,17,17,83,1,,
