button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.792899999976154],[6.792999999999996],548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,space,7.9195,,,,,,,,,,,,,,,,,,,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,44.3,41.6,,,,,,,,,,,,,,,,,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,space,10.9965,,,,,,,,,,,,,,,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,space,17.4378,,,,,,,,,,,,,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,31,9,space,28.8268,46,27.4342,0,0,0,0,1,101,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,40,9,space,9.7341,27,9.0191,0,1,1,1,1,102,,,,,,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,38,9,space,5.6416,38,4.7734,,,,,,81,0,0,0,81,1,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,34,9,space,9.0304,19,8.6418,,,,,,48,0,1,1,48,1,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,39,9,space,5.2663,13,2.7872,,,,,,18,0,2,2,18,1,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,37,9,space,6.5365,33,5.7842,,,,,,14,0,3,3,14,1,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,30,9,space,9.0887,34,8.5423,,,,,,33,0,4,4,33,1,,
,,,548,5d1c9fdc9d66be0001649a6d,53,male,2022-11-22_14h47.18.786,onlinegloss,2022.2.3,Win32,30.23431595,,,,,,,,,33,9,space,5.808,38,4.5071,,,,,,76,0,5,5,76,1,,
