button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.814999999999998],[11.815099999999632],606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,space,17.3222,,,,,,,,,,,,,,,,,,,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,40,37.4,,,,,,,,,,,,,,,,,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,space,59.0666,,,,,,,,,,,,,,,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,space,16.508,,,,,,,,,,,,,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,31,13,space,15.6781,27,14.8147,0,0,0,0,1,101,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,43,13,space,9.9395,41,9.3004,0,1,1,1,1,102,,,,,,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,46,13,space,9.9156,52,7.3115,,,,,,30,0,0,0,30,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,51,13,space,10.7257,49,8.8861,,,,,,54,0,1,1,54,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,34,13,space,10.6079,7,9.7699,,,,,,53,0,2,2,53,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,34,13,space,9.3462,14,8.888,,,,,,65,0,3,3,65,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,28,13,space,5.6028,33,5.0176,,,,,,25,0,4,4,25,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,48,13,space,5.0133,48,4.5191,,,,,,77,0,5,5,77,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,34,13,space,6.2706,51,5.734,,,,,,18,0,6,6,18,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,39,13,space,4.874,12,2.1194,,,,,,43,0,7,7,43,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,43,13,space,4.3953,20,3.7158,,,,,,82,0,8,8,82,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,52,13,space,3.2608,13,2.7996,,,,,,20,0,9,9,20,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,48,13,space,6.1857,31,5.4374,,,,,,74,0,10,10,74,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,42,13,space,4.5526,21,4.0041,,,,,,1,0,11,11,1,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,29,13,space,4.0405,1,3.1163,,,,,,31,0,12,12,31,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,34,13,space,5.4519,52,4.5932,,,,,,32,0,13,13,32,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,38,13,space,4.9284,35,4.3602,,,,,,22,0,14,14,22,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,44,13,space,9.6555,18,9.0524,,,,,,33,0,15,15,33,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,30,13,space,9.725,35,9.2003,,,,,,67,0,16,16,67,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,41,13,space,6.5451,37,6.046,,,,,,29,0,17,17,29,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,31,13,space,5.1868,27,4.3865,,,,,,5,0,18,18,5,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,37,13,space,5.3121,13,4.6852,,,,,,16,0,19,19,16,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,43,13,space,3.8146,24,3.2749,,,,,,52,0,20,20,52,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,30,13,space,32.5607,1,26.6324,,,,,,0,0,21,21,0,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,46,13,space,11.3882,19,10.6577,,,,,,66,0,22,22,66,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,43,13,space,5.8472,50,5.3078,,,,,,6,0,23,23,6,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,34,13,space,3.8811,18,2.0585,,,,,,81,0,24,24,81,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,42,13,space,5.7755,7,5.2019,,,,,,41,0,25,25,41,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,40,13,space,4.9626,12,3.4994,,,,,,10,0,26,26,10,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,42,13,space,9.2275,5,8.4615,,,,,,62,0,27,27,62,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,27,13,space,3.1862,1,2.6211,,,,,,59,0,28,28,59,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,51,13,space,7.0306,17,6.5582,,,,,,69,0,29,29,69,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,46,13,space,5.2584,21,4.8542,,,,,,44,0,30,30,44,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,42,13,space,4.8342,51,4.353,,,,,,50,0,31,31,50,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,47,13,space,2.6748,1,1.9671,,,,,,60,0,32,32,60,1,,
,,,606,6137e8f606da0457071cbcfc,33,Male,2022-11-22_14h57.25.750,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,43,13,space,6.5635,38,6.1871,,,,,,64,0,33,33,64,1,,
