button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.605799999997018],[3.60590000000596],567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,space,8.698,,,,,,,,,,,,,,,,,,,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,39.9,41.2,,,,,,,,,,,,,,,,,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,space,9.1308,,,,,,,,,,,,,,,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,space,12.44,,,,,,,,,,,,,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,40,28,space,10.3188,32,8.5878,0,0,0,0,1,101,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,45,28,space,1.7331,,,0,1,1,1,1,102,,,,,,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,49,28,space,4.9443,14,3.943,,,,,,46,0,0,0,46,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,50,28,space,7.4815,19,7.2464,,,,,,55,0,1,1,55,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,36,28,space,9.8312,23,9.6463,,,,,,80,0,2,2,80,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,51,28,space,3.0167,31,2.7315,,,,,,81,0,3,3,81,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,28,28,space,2.966,13,2.0989,,,,,,58,0,4,4,58,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,36,28,space,3.6493,19,2.4817,,,,,,24,0,5,5,24,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,29,28,space,1.7663,9,1.3653,,,,,,54,0,6,6,54,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,34,28,space,2.3995,18,1.8985,,,,,,41,0,7,7,41,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,39,28,space,3.4658,5,2.8149,,,,,,65,0,8,8,65,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,37,28,space,4.6656,6,3.5984,,,,,,43,0,9,9,43,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,39,28,space,3.4493,14,2.7984,,,,,,56,0,10,10,56,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,46,28,space,5.5819,26,4.0646,,,,,,16,0,11,11,16,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,45,28,space,4.0162,10,3.6313,,,,,,61,0,12,12,61,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,47,28,space,2.9498,16,1.9316,,,,,,82,0,13,13,82,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,33,28,space,2.0997,15,1.8313,,,,,,64,0,14,14,64,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,28,28,space,2.5161,22,2.0985,,,,,,50,0,15,15,50,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,31,28,space,1.9662,7,1.6986,,,,,,79,0,16,16,79,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,36,28,space,3.2826,5,2.765,,,,,,29,0,17,17,29,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,43,28,space,14.1797,1,13.5954,,,,,,0,0,18,18,0,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,36,28,space,4.1516,33,4.0145,,,,,,40,0,19,19,40,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,29,28,space,5.5654,7,5.0335,,,,,,71,0,20,20,71,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,32,28,space,2.8993,14,2.6652,,,,,,47,0,21,21,47,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,27,28,space,2.0831,8,1.782,,,,,,1,0,22,22,1,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,39,28,space,2.916,16,1.532,,,,,,33,0,23,23,33,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,41,28,space,1.9827,19,1.8652,,,,,,39,0,24,24,39,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,47,28,space,2.9326,3,2.765,,,,,,66,0,25,25,66,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,41,28,space,3.199,18,2.5176,,,,,,28,0,26,26,28,1,,
,,,567,5c857ea0fff8430001e99a42,46,female,2022-11-22_14h48.18.294,onlinegloss,2022.2.3,Win32,59.96641881,,,,,,,,,41,28,space,1.6661,20,1.1655,,,,,,53,0,27,27,53,1,,
